rank,name,position,team,adp,high,low,stdev,bye,source
1,Jahmyr Gibbs,RB,DET,1.5,1,3,0.7,6,ffc
2,Bijan Robinson,RB,ATL,2.2,1,3,0.7,11,ffc
3,Puka Nacua,WR,LAR,3.1,2,5,0.5,11,ffc
4,Ja'Marr Chase,WR,CIN,3.9,1,7,1.0,6,ffc
5,Jaxon Smith-Njigba,WR,SEA,5.4,2,9,1.3,11,ffc
6,Jonathan Taylor,RB,IND,6.0,1,11,1.6,13,ffc
7,Christian McCaffrey,RB,SF,6.7,2,11,1.6,8,ffc
8,Amon-Ra St. Brown,WR,DET,7.9,4,15,1.5,6,ffc
9,James Cook III,RB,BUF,9.4,4,15,1.8,7,ffc
10,Derrick Henry,RB,BAL,10.0,6,13,1.3,13,ffc
11,De'Von Achane,RB,MIA,11.6,6,17,1.9,6,ffc
12,Drake London,WR,ATL,12.1,9,15,1.4,11,ffc
13,CeeDee Lamb,WR,DAL,12.5,7,18,2.2,14,ffc
14,Justin Jefferson,WR,MIN,14.2,7,21,2.6,6,ffc
15,Ashton Jeanty,RB,LV,14.9,6,22,3.2,13,ffc
16,Chase Brown,RB,CIN,15.3,7,22,3.0,6,ffc
17,Rashee Rice,WR,KC,15.8,11,22,2.3,5,ffc
18,Saquon Barkley,RB,PHI,17.0,9,24,2.8,10,ffc
19,George Pickens,WR,DAL,19.2,13,29,2.7,14,ffc
20,A.J. Brown,WR,NE,19.7,12,28,2.8,11,ffc
21,Kenneth Walker,RB,KC,21.8,12,30,3.6,5,ffc
22,Nico Collins,WR,HOU,21.9,16,29,2.2,8,ffc
23,Omarion Hampton,RB,LAC,23.5,13,33,3.7,7,ffc
24,Chris Olave,WR,NO,24.0,17,31,2.7,8,ffc
25,Zay Flowers,WR,BAL,25.1,20,31,2.5,13,ffc
26,Josh Jacobs,RB,GB,25.3,15,33,3.9,11,ffc
27,Kyren Williams,RB,LAR,26.6,17,36,3.3,11,ffc
28,Malik Nabers,WR,NYG,28.3,19,38,3.4,8,ffc
29,Jeremiyah Love,RB,ARI,29.9,21,43,3.2,14,ffc
30,Garrett Wilson,WR,NYJ,31.7,25,44,3.4,13,ffc
31,DeVonta Smith,WR,PHI,32.2,23,43,3.3,10,ffc
32,Tetairoa McMillan,WR,CAR,32.5,24,41,3.4,5,ffc
33,Josh Allen,QB,BUF,33.2,14,46,7.0,7,ffc
34,Javonte Williams,RB,DAL,33.2,23,42,3.7,14,ffc
35,Cam Skattebo,RB,NYG,33.6,24,42,3.5,8,ffc
