rank,name,position,team,adp,high,low,stdev,bye,source
1,Jahmyr Gibbs,RB,DET,1.4,1,3,0.6,6,ffc
2,Bijan Robinson,RB,ATL,2.1,1,3,0.7,11,ffc
3,Puka Nacua,WR,LAR,2.8,2,3,0.4,11,ffc
4,Christian McCaffrey,RB,SF,4.7,2,7,1.3,8,ffc
5,Ja'Marr Chase,WR,CIN,5.2,2,9,1.5,6,ffc
6,Jonathan Taylor,RB,IND,6.0,3,10,1.4,13,ffc
7,Jaxon Smith-Njigba,WR,SEA,6.7,3,11,1.9,11,ffc
8,Amon-Ra St. Brown,WR,DET,8.2,5,13,1.4,6,ffc
9,De'Von Achane,RB,MIA,8.9,5,12,1.5,6,ffc
10,Derrick Henry,RB,BAL,10.1,6,15,1.9,13,ffc
11,James Cook III,RB,BUF,10.3,5,17,1.8,7,ffc
12,Drake London,WR,ATL,11.9,10,15,1.7,11,ffc
13,CeeDee Lamb,WR,DAL,13.2,9,20,2.8,14,ffc
14,Ashton Jeanty,RB,LV,13.3,3,21,3.9,13,ffc
15,Saquon Barkley,RB,PHI,14.8,6,23,3.1,10,ffc
16,Justin Jefferson,WR,MIN,15.1,8,23,3.3,6,ffc
17,A.J. Brown,WR,NE,17.3,12,26,2.7,11,ffc
18,Omarion Hampton,RB,LAC,18.2,8,28,3.8,7,ffc
19,Chase Brown,RB,CIN,19.4,11,26,2.8,6,ffc
20,Kenneth Walker III,RB,KC,21.0,9,33,5.5,5,ffc
21,Josh Jacobs,RB,GB,21.2,15,31,2.6,11,ffc
22,George Pickens,WR,DAL,21.6,15,29,3.2,14,ffc
23,Nico Collins,WR,HOU,23.8,17,30,2.8,8,ffc
24,Jeremiyah Love,RB,ARI,24.3,15,34,3.9,14,ffc
25,Chris Olave,WR,NO,24.7,19,31,2.6,8,ffc
26,Rashee Rice,WR,KC,25.0,11,35,5.8,5,ffc
27,Josh Allen,QB,BUF,26.1,12,34,5.1,7,ffc
28,Breece Hall,RB,NYJ,28.9,21,35,2.9,13,ffc
29,DeVonta Smith,WR,PHI,30.2,22,40,3.4,10,ffc
30,Javonte Williams,RB,DAL,30.5,22,41,3.7,14,ffc
31,Zay Flowers,WR,BAL,32.0,20,41,4.9,13,ffc
32,Kyren Williams,RB,LAR,32.2,23,43,3.4,11,ffc
33,Tee Higgins,WR,CIN,32.7,22,43,5.4,6,ffc
34,Garrett Wilson,WR,NYJ,33.0,23,42,4.0,13,ffc
35,Tetairoa McMillan,WR,CAR,33.3,23,42,3.7,5,ffc
36,Cam Skattebo,RB,NYG,34.3,24,46,4.5,8,ffc
37,Terry McLaurin,WR,WAS,38.6,30,47,4.1,7,ffc
38,Travis Etienne Jr.,RB,NO,38.7,30,44,3.6,8,ffc
39,Trey McBride,TE,ARI,39.5,16,57,8.8,14,ffc
40,Ladd McConkey,WR,LAC,39.5,29,69,8.5,7,ffc
41,Davante Adams,WR,LAR,39.6,29,52,3.9,11,ffc
42,Emeka Egbuka,WR,TB,40.4,25,55,5.8,10,ffc
43,Quinshon Judkins,RB,CLE,42.5,27,58,5.9,11,ffc
44,D'Andre Swift,RB,CHI,43.5,31,51,4.5,10,ffc
45,Jaylen Waddle,WR,DEN,43.6,30,71,8.9,10,ffc
46,Brock Bowers,TE,LV,43.9,17,66,10.1,13,ffc
47,Bucky Irving,RB,TB,44.4,33,54,4.4,10,ffc
48,Jameson Williams,WR,DET,45.6,37,53,3.6,6,ffc
49,Joe Burrow,QB,CIN,49.3,21,72,10.8,6,ffc
50,Lamar Jackson,QB,BAL,51.9,31,64,7.7,13,ffc
51,Luther Burden III,WR,CHI,52.2,41,68,6.3,10,ffc
52,Drake Maye,QB,NE,52.4,29,67,9.1,11,ffc
53,David Montgomery,RB,HOU,53.4,34,77,7.8,8,ffc
54,Rome Odunze,WR,CHI,53.5,35,68,6.8,10,ffc
55,Mike Evans,WR,SF,53.8,32,82,9.4,8,ffc
56,Malik Nabers,WR,NYG,55.7,30,82,9.9,8,ffc
57,TreVeyon Henderson,RB,NE,56.8,39,69,6.6,11,ffc
58,DK Metcalf,WR,PIT,57.9,44,74,8.4,9,ffc
59,Bhayshul Tuten,RB,JAX,58.1,42,70,6.3,7,ffc
60,Colston Loveland,TE,CHI,58.4,33,85,9.5,10,ffc
61,Christian Watson,WR,GB,58.6,42,74,6.7,11,ffc
62,Tyler Warren,TE,IND,60.1,32,85,11.2,13,ffc
63,Jadarian Price,RB,SEA,60.6,41,77,7.5,11,ffc
64,Alec Pierce,WR,IND,61.8,40,84,8.6,13,ffc
65,Dak Prescott,QB,DAL,62.7,40,75,8.6,14,ffc
66,Carnell Tate,WR,TEN,65.2,41,90,8.9,9,ffc
67,Tony Pollard,RB,TEN,66.1,44,81,8.4,9,ffc
68,Marvin Harrison Jr.,WR,ARI,66.8,50,80,6.5,14,ffc
