rank,name,position,team,adp,high,low,stdev,bye,source
1,Jahmyr Gibbs,RB,DET,1.4,1,3,0.6,6,ffc
2,Bijan Robinson,RB,ATL,2.0,1,3,0.7,11,ffc
3,Puka Nacua,WR,LAR,2.9,2,3,0.3,11,ffc
4,Ja'Marr Chase,WR,CIN,4.9,1,9,1.5,6,ffc
5,Christian McCaffrey,RB,SF,5.0,1,9,1.5,8,ffc
6,Jaxon Smith-Njigba,WR,SEA,6.2,3,11,1.7,11,ffc
7,Jonathan Taylor,RB,IND,6.3,3,10,1.5,13,ffc
8,Amon-Ra St. Brown,WR,DET,8.2,5,11,1.3,6,ffc
9,De'Von Achane,RB,MIA,9.0,5,13,1.6,6,ffc
10,James Cook III,RB,BUF,10.4,5,17,2.0,7,ffc
11,Derrick Henry,RB,BAL,10.6,6,17,2.1,13,ffc
12,Drake London,WR,ATL,11.6,10,15,1.6,11,ffc
13,Ashton Jeanty,RB,LV,13.3,2,21,4.2,13,ffc
14,CeeDee Lamb,WR,DAL,13.3,9,20,2.7,14,ffc
15,Justin Jefferson,WR,MIN,15.2,8,23,3.2,6,ffc
16,Saquon Barkley,RB,PHI,15.6,7,23,3.2,10,ffc
17,A.J. Brown,WR,NE,17.6,12,26,2.6,11,ffc
18,Chase Brown,RB,CIN,18.8,10,26,3.2,6,ffc
19,Omarion Hampton,RB,LAC,19.1,9,28,3.8,7,ffc
20,Josh Jacobs,RB,GB,21.3,15,27,2.2,11,ffc
21,George Pickens,WR,DAL,21.5,16,29,2.8,14,ffc
22,Rashee Rice,WR,KC,22.3,11,32,6.5,5,ffc
23,Kenneth Walker III,RB,KC,23.0,9,33,5.3,5,ffc
24,Nico Collins,WR,HOU,23.7,17,30,2.7,8,ffc
25,Chris Olave,WR,NO,24.0,18,29,2.7,8,ffc
26,Jeremiyah Love,RB,ARI,25.0,15,34,3.7,14,ffc
27,Josh Allen,QB,BUF,25.7,11,34,5.3,7,ffc
28,Breece Hall,RB,NYJ,28.7,21,35,2.9,13,ffc
29,DeVonta Smith,WR,PHI,30.8,22,40,3.8,10,ffc
30,Zay Flowers,WR,BAL,31.2,24,39,4.1,13,ffc
31,Javonte Williams,RB,DAL,31.6,22,42,4.1,14,ffc
32,Kyren Williams,RB,LAR,32.1,23,41,3.2,11,ffc
33,Garrett Wilson,WR,NYJ,32.6,23,42,4.2,13,ffc
34,Cam Skattebo,RB,NYG,33.7,24,46,4.5,8,ffc
35,Tetairoa McMillan,WR,CAR,33.9,24,42,3.8,5,ffc
36,Tee Higgins,WR,CIN,34.7,22,44,5.4,6,ffc
37,Emeka Egbuka,WR,TB,38.6,23,55,6.0,10,ffc
38,Travis Etienne Jr.,RB,NO,38.7,30,46,3.4,8,ffc
39,Davante Adams,WR,LAR,39.8,30,49,3.6,11,ffc
40,Terry McLaurin,WR,WAS,40.0,28,54,4.7,7,ffc
41,Trey McBride,TE,ARI,41.0,18,57,8.6,14,ffc
42,Ladd McConkey,WR,LAC,42.8,30,69,8.5,7,ffc
43,D'Andre Swift,RB,CHI,43.3,29,51,5.3,10,ffc
44,Quinshon Judkins,RB,CLE,44.1,27,60,6.5,11,ffc
45,Brock Bowers,TE,LV,44.5,17,66,10.4,13,ffc
46,Bucky Irving,RB,TB,44.5,32,54,4.4,10,ffc
47,Jameson Williams,WR,DET,45.3,37,53,3.7,6,ffc
48,Jaylen Waddle,WR,DEN,47.8,30,71,8.7,10,ffc
49,Rome Odunze,WR,CHI,50.8,33,68,7.6,10,ffc
50,Drake Maye,QB,NE,51.7,34,63,7.8,11,ffc
51,Malik Nabers,WR,NYG,51.7,24,82,12.4,8,ffc
52,Joe Burrow,QB,CIN,52.0,22,73,11.5,6,ffc
53,Luther Burden III,WR,CHI,52.5,41,66,5.9,10,ffc
54,Lamar Jackson,QB,BAL,53.5,35,66,7.0,13,ffc
55,David Montgomery,RB,HOU,55.5,34,75,8.1,8,ffc
56,Bhayshul Tuten,RB,JAX,56.2,41,70,6.7,7,ffc
57,Mike Evans,WR,SF,56.2,33,82,8.8,8,ffc
58,TreVeyon Henderson,RB,NE,56.3,39,68,6.4,11,ffc
59,Alec Pierce,WR,IND,58.7,40,75,9.6,13,ffc
60,Jadarian Price,RB,SEA,59.6,40,77,7.2,11,ffc
61,Christian Watson,WR,GB,60.2,42,77,7.0,11,ffc
62,Colston Loveland,TE,CHI,61.0,33,85,10.6,10,ffc
63,Tyler Warren,TE,IND,62.1,32,85,11.9,13,ffc
64,DK Metcalf,WR,PIT,62.3,44,77,8.3,9,ffc
65,Dak Prescott,QB,DAL,62.7,39,73,9.0,14,ffc
66,DJ Moore,WR,BUF,65.2,41,89,12.5,7,ffc
67,Tony Pollard,RB,TEN,65.6,43,81,8.7,9,ffc
68,Marvin Harrison Jr.,WR,ARI,65.9,48,79,6.7,14,ffc
69,Courtland Sutton,WR,DEN,66.8,48,87,8.8,10,ffc
70,Carnell Tate,WR,TEN,67.5,53,90,8.2,9,ffc
71,Rhamondre Stevenson,RB,NE,71.4,58,83,6.8,11,ffc
72,Jaylen Warren,RB,PIT,71.7,56,86,7.1,9,ffc
73,Parker Washington,WR,JAX,73.6,58,92,7.8,7,ffc
74,Jalen Hurts,QB,PHI,73.8,51,104,12.4,10,ffc
75,Jayden Daniels,QB,WAS,75.2,48,105,10.4,7,ffc
76,Brock Purdy,QB,SF,77.2,61,92,8.0,8,ffc
77,Rico Dowdle,RB,PIT,77.7,69,103,7.9,9,ffc
78,Brian Thomas Jr.,WR,JAX,78.0,59,93,7.0,7,ffc
79,Michael Pittman Jr.,WR,PIT,78.3,61,94,7.2,9,ffc
80,Jordyn Tyson,WR,NO,79.6,63,94,8.9,8,ffc
81,Chuba Hubbard,RB,CAR,80.9,57,117,10.6,5,ffc
82,Jakobi Meyers,WR,JAX,81.2,59,105,13.0,7,ffc
83,Sam LaPorta,TE,DET,83.5,53,138,14.7,6,ffc
84,J.K. Dobbins,RB,DEN,84.2,64,109,7.5,10,ffc
85,Harold Fannin Jr.,TE,CLE,84.5,70,100,6.5,11,ffc
86,Trevor Lawrence,QB,JAX,85.0,59,117,12.6,7,ffc
87,Chris Godwin Jr.,WR,TB,86.3,68,98,6.8,10,ffc
88,Jayden Reed,WR,GB,89.4,75,104,7.3,11,ffc
89,Michael Wilson,WR,ARI,89.6,69,105,7.9,14,ffc
90,Jordan Addison,WR,MIN,89.7,67,106,8.5,6,ffc
91,Makai Lemon,WR,PHI,90.9,68,114,10.9,10,ffc
92,Wan'Dale Robinson,WR,TEN,90.9,62,119,15.7,9,ffc
93,Kyle Pitts Sr.,TE,ATL,93.2,71,149,17.4,11,ffc
94,Quentin Johnston,WR,LAC,93.3,71,115,10.8,7,ffc
95,Matthew Stafford,QB,LAR,93.4,69,125,14.4,11,ffc
96,Kyle Monangai,RB,CHI,94.4,67,119,10.2,10,ffc
97,Xavier Worthy,WR,KC,96.4,75,110,8.1,5,ffc
98,Justin Herbert,QB,LAC,96.4,66,127,17.3,7,ffc
99,Ricky Pearsall,WR,SF,96.5,80,119,8.5,8,ffc
100,Caleb Williams,QB,CHI,96.9,68,129,15.7,10,ffc
101,Tucker Kraft,TE,GB,97.1,55,143,22.1,11,ffc
102,Seattle Defense,DEF,SEA,97.3,78,113,9.6,11,ffc
