rank,name,position,team,adp,high,low,stdev,bye,source
1,Jahmyr Gibbs,RB,DET,1.6,1,3,0.7,6,ffc
2,Bijan Robinson,RB,ATL,2.1,1,3,0.7,11,ffc
3,Puka Nacua,WR,LAR,2.7,1,3,0.6,11,ffc
4,Ja'Marr Chase,WR,CIN,4.0,2,7,0.9,6,ffc
5,Christian McCaffrey,RB,SF,5.1,1,9,1.6,8,ffc
6,Jonathan Taylor,RB,IND,6.3,3,10,1.3,13,ffc
7,Jaxon Smith-Njigba,WR,SEA,6.6,4,10,1.3,11,ffc
8,Amon-Ra St. Brown,WR,DET,8.5,5,12,1.5,6,ffc
9,De'Von Achane,RB,MIA,9.8,8,12,1.0,6,ffc
10,James Cook III,RB,BUF,10.1,5,15,2.0,7,ffc
11,Derrick Henry,RB,BAL,10.1,7,15,1.6,13,ffc
12,CeeDee Lamb,WR,DAL,12.5,8,18,2.1,14,ffc
13,Justin Jefferson,WR,MIN,12.9,7,17,2.4,6,ffc
14,Drake London,WR,ATL,13.6,10,16,1.5,11,ffc
15,Ashton Jeanty,RB,LV,14.2,6,21,2.9,13,ffc
16,Saquon Barkley,RB,PHI,16.3,10,24,3.3,10,ffc
17,A.J. Brown,WR,NE,16.7,12,21,2.0,11,ffc
18,Omarion Hampton,RB,LAC,16.9,8,24,3.6,7,ffc
19,Kenneth Walker III,RB,KC,18.7,11,25,3.3,5,ffc
20,George Pickens,WR,DAL,18.9,17,22,1.6,14,ffc
21,Chase Brown,RB,CIN,20.3,13,27,2.7,6,ffc
22,Nico Collins,WR,HOU,23.5,17,29,2.5,8,ffc
23,Chris Olave,WR,NO,23.6,19,31,3.2,8,ffc
24,Tee Higgins,WR,CIN,24.9,20,30,2.6,6,ffc
25,Josh Jacobs,RB,GB,26.0,20,33,2.8,11,ffc
26,Jeremiyah Love,RB,ARI,26.8,21,32,2.5,14,ffc
27,Rashee Rice,WR,KC,27.1,17,34,3.5,5,ffc
28,Zay Flowers,WR,BAL,27.2,25,29,1.6,13,ffc
29,Josh Allen,QB,BUF,27.4,7,38,7.5,7,ffc
30,Garrett Wilson,WR,NYJ,28.8,22,32,2.4,13,ffc
31,DeVonta Smith,WR,PHI,29.6,21,34,3.2,10,ffc
32,Kyren Williams,RB,LAR,30.8,21,40,4.2,11,ffc
33,Breece Hall,RB,NYJ,30.9,24,38,3.2,13,ffc
34,Tetairoa McMillan,WR,CAR,33.4,23,41,4.1,5,ffc
35,Javonte Williams,RB,DAL,33.5,23,41,3.8,14,ffc
36,Cam Skattebo,RB,NYG,36.0,27,42,3.9,8,ffc
37,Trey McBride,TE,ARI,36.3,20,47,5.9,14,ffc
