rank,name,position,team,adp,high,low,stdev,bye,source
1,Jahmyr Gibbs,RB,DET,1.5,1,3,0.7,6,ffc
2,Bijan Robinson,RB,ATL,2.0,1,3,0.7,11,ffc
3,Puka Nacua,WR,LAR,2.8,1,3,0.5,11,ffc
4,Ja'Marr Chase,WR,CIN,4.4,1,9,1.3,6,ffc
5,Christian McCaffrey,RB,SF,5.4,2,12,1.6,8,ffc
6,Jaxon Smith-Njigba,WR,SEA,5.6,3,9,1.4,11,ffc
7,Jonathan Taylor,RB,IND,6.5,2,10,1.7,13,ffc
8,Amon-Ra St. Brown,WR,DET,8.0,5,13,1.5,6,ffc
9,De'Von Achane,RB,MIA,9.2,4,13,1.6,6,ffc
10,James Cook III,RB,BUF,10.5,4,17,2.2,7,ffc
11,Derrick Henry,RB,BAL,11.0,6,17,1.9,13,ffc
12,Drake London,WR,ATL,11.0,8,15,1.7,11,ffc
13,CeeDee Lamb,WR,DAL,13.5,9,19,2.4,14,ffc
14,Ashton Jeanty,RB,LV,14.0,4,21,3.8,13,ffc
15,Justin Jefferson,WR,MIN,14.8,8,23,3.1,6,ffc
16,Rashee Rice,WR,KC,16.5,9,29,5.6,5,ffc
17,Saquon Barkley,RB,PHI,16.7,8,24,3.1,10,ffc
18,Chase Brown,RB,CIN,17.3,8,25,3.3,6,ffc
19,A.J. Brown,WR,NE,18.1,11,26,2.6,11,ffc
20,Omarion Hampton,RB,LAC,20.0,10,29,3.7,7,ffc
21,Josh Jacobs,RB,GB,21.3,15,27,2.3,11,ffc
22,George Pickens,WR,DAL,21.5,17,29,2.5,14,ffc
23,Chris Olave,WR,NO,23.0,16,29,2.9,8,ffc
24,Nico Collins,WR,HOU,23.4,17,29,2.4,8,ffc
25,Kenneth Walker III,RB,KC,25.1,13,35,4.4,5,ffc
26,Jeremiyah Love,RB,ARI,25.7,15,36,4.4,14,ffc
27,Josh Allen,QB,BUF,26.0,13,37,4.9,7,ffc
28,Zay Flowers,WR,BAL,27.7,19,35,3.9,13,ffc
