rank,name,position,team,adp,high,low,stdev,bye,source
1,Jahmyr Gibbs,RB,DET,1.5,1,3,0.7,6,ffc
2,Bijan Robinson,RB,ATL,2.3,1,3,0.6,11,ffc
3,Puka Nacua,WR,LAR,3.1,2,5,0.4,11,ffc
4,Ja'Marr Chase,WR,CIN,3.9,1,7,1.0,6,ffc
5,Jaxon Smith-Njigba,WR,SEA,5.4,1,9,1.4,11,ffc
6,Jonathan Taylor,RB,IND,6.0,1,11,1.6,13,ffc
7,Christian McCaffrey,RB,SF,6.8,2,11,1.6,8,ffc
8,Amon-Ra St. Brown,WR,DET,7.9,5,15,1.5,6,ffc
9,James Cook III,RB,BUF,9.2,4,15,1.7,7,ffc
10,Derrick Henry,RB,BAL,9.9,6,13,1.4,13,ffc
11,De'Von Achane,RB,MIA,11.5,7,17,1.7,6,ffc
12,Drake London,WR,ATL,12.4,10,15,1.2,11,ffc
13,CeeDee Lamb,WR,DAL,12.5,7,20,2.3,14,ffc
14,Justin Jefferson,WR,MIN,14.1,7,21,2.7,6,ffc
15,Ashton Jeanty,RB,LV,15.1,6,23,3.3,13,ffc
16,Chase Brown,RB,CIN,15.1,7,21,3.0,6,ffc
17,Rashee Rice,WR,KC,15.9,11,22,2.2,5,ffc
18,Saquon Barkley,RB,PHI,17.3,9,26,3.0,10,ffc
19,A.J. Brown,WR,NE,19.6,12,25,2.9,11,ffc
20,George Pickens,WR,DAL,19.6,13,27,2.6,14,ffc
21,Nico Collins,WR,HOU,21.5,15,27,2.4,8,ffc
22,Kenneth Walker,RB,KC,21.6,12,30,3.7,5,ffc
23,Omarion Hampton,RB,LAC,23.6,13,33,3.9,7,ffc
24,Chris Olave,WR,NO,23.9,17,31,2.6,8,ffc
25,Josh Jacobs,RB,GB,24.9,14,33,3.9,11,ffc
26,Zay Flowers,WR,BAL,25.3,20,31,2.4,13,ffc
27,Kyren Williams,RB,LAR,27.0,17,36,3.5,11,ffc
28,Malik Nabers,WR,NYG,28.2,19,38,3.5,8,ffc
29,Jeremiyah Love,RB,ARI,30.0,22,36,3.0,14,ffc
30,Garrett Wilson,WR,NYJ,31.4,25,40,3.3,13,ffc
31,DeVonta Smith,WR,PHI,32.0,23,43,3.2,10,ffc
32,Tetairoa McMillan,WR,CAR,32.2,24,41,3.4,5,ffc
33,Josh Allen,QB,BUF,32.9,14,46,6.9,7,ffc
34,Javonte Williams,RB,DAL,33.6,23,44,3.9,14,ffc
35,Cam Skattebo,RB,NYG,34.3,23,45,4.0,8,ffc
36,Breece Hall,RB,NYJ,34.9,19,51,5.8,13,ffc
37,Emeka Egbuka,WR,TB,34.9,25,49,4.0,10,ffc
38,Tee Higgins,WR,CIN,36.5,25,47,4.0,6,ffc
39,Trey McBride,TE,ARI,38.2,21,50,6.3,14,ffc
40,Davante Adams,WR,LAR,38.4,28,48,4.0,11,ffc
41,Travis Etienne Jr.,RB,NO,40.1,28,54,4.3,8,ffc
42,Jameson Williams,WR,DET,40.4,31,47,3.6,6,ffc
43,Ladd McConkey,WR,LAC,41.2,31,54,3.7,7,ffc
44,Brock Bowers,TE,LV,43.0,22,60,8.0,13,ffc
45,D'Andre Swift,RB,CHI,43.3,31,53,4.6,10,ffc
46,Terry McLaurin,WR,WAS,45.0,33,59,4.6,7,ffc
47,Bucky Irving,RB,TB,45.5,28,59,6.4,10,ffc
48,Rome Odunze,WR,CHI,47.3,32,63,5.7,10,ffc
49,Jaylen Waddle,WR,DEN,47.7,31,65,6.4,10,ffc
50,DJ Moore,WR,BUF,50.6,33,72,6.7,7,ffc
51,Quinshon Judkins,RB,CLE,51.4,36,66,6.0,11,ffc
52,Drake Maye,QB,NE,51.9,34,65,6.8,11,ffc
53,Ollie Gordon II,RB,MIA,52.0,52,52,0.0,6,ffc
54,Bhayshul Tuten,RB,JAX,53.4,39,65,5.2,7,ffc
55,Mike Evans,WR,SF,53.8,37,71,6.8,8,ffc
56,David Montgomery,RB,HOU,55.0,40,67,5.7,8,ffc
57,Christian Watson,WR,GB,56.3,40,74,6.0,11,ffc
58,Alec Pierce,WR,IND,56.4,39,72,6.6,13,ffc
59,Joe Burrow,QB,CIN,56.4,30,75,9.9,6,ffc
60,Lamar Jackson,QB,BAL,56.7,34,71,8.5,13,ffc
61,Courtland Sutton,WR,DEN,59.7,46,78,6.1,10,ffc
62,TreVeyon Henderson,RB,NE,60.2,45,73,5.8,11,ffc
63,Colston Loveland,TE,CHI,61.3,38,84,8.9,10,ffc
64,Luther Burden III,WR,CHI,61.7,42,81,7.2,10,ffc
65,Jaylen Warren,RB,PIT,63.1,48,72,5.5,9,ffc
66,DK Metcalf,WR,PIT,63.3,45,85,6.8,9,ffc
67,Parker Washington,WR,JAX,64.7,46,83,6.9,7,ffc
68,Marvin Harrison Jr.,WR,ARI,65.0,48,83,6.7,14,ffc
69,Dak Prescott,QB,DAL,65.5,50,91,7.9,14,ffc
70,Tony Pollard,RB,TEN,66.1,55,79,5.7,9,ffc
71,Rhamondre Stevenson,RB,NE,68.5,54,83,6.5,11,ffc
72,Brian Thomas Jr.,WR,JAX,69.5,51,86,7.0,7,ffc
73,Tyler Warren,TE,IND,70.4,45,91,9.6,13,ffc
74,Jayden Daniels,QB,WAS,71.0,48,103,8.8,7,ffc
75,Carnell Tate,WR,TEN,73.9,53,90,8.0,9,ffc
76,Rico Dowdle,RB,PIT,74.6,54,94,7.6,9,ffc
77,Jadarian Price,RB,SEA,75.3,50,103,9.6,11,ffc
78,Michael Wilson,WR,ARI,76.1,57,93,7.2,14,ffc
79,Chuba Hubbard,RB,CAR,77.6,58,104,10.2,5,ffc
80,Chris Godwin Jr.,WR,TB,77.6,56,94,8.1,10,ffc
81,Matthew Stafford,QB,LAR,79.0,61,110,10.0,11,ffc
82,Jalen Hurts,QB,PHI,80.9,55,107,11.2,10,ffc
83,Michael Pittman Jr.,WR,PIT,81.0,60,96,7.7,9,ffc
84,Seattle Defense,DEF,SEA,81.3,65,100,7.0,11,ffc
85,J.K. Dobbins,RB,DEN,83.3,56,120,11.7,10,ffc
86,Harold Fannin Jr.,TE,CLE,83.8,72,97,5.7,11,ffc
87,Kyle Pitts Sr.,TE,ATL,85.2,68,113,7.4,11,ffc
88,Jakobi Meyers,WR,JAX,85.9,64,102,8.2,7,ffc
89,Quentin Johnston,WR,LAC,86.2,66,102,7.7,7,ffc
90,Josh Downs,WR,IND,86.9,66,106,7.8,13,ffc
91,Brock Purdy,QB,SF,87.0,69,116,11.4,8,ffc
92,Jordan Addison,WR,MIN,88.9,66,120,8.6,6,ffc
93,Jayden Reed,WR,GB,90.4,64,112,9.9,11,ffc
94,Denver Defense,DEF,DEN,91.0,69,111,8.1,10,ffc
95,Caleb Williams,QB,CHI,91.0,58,120,12.6,10,ffc
96,RJ Harvey,RB,DEN,93.4,57,135,13.9,10,ffc
97,Wan'Dale Robinson,WR,TEN,93.5,71,110,8.5,9,ffc
98,Stefon Diggs,WR,WAS,94.1,70,118,9.1,7,ffc
99,Sam LaPorta,TE,DET,94.2,53,143,15.6,6,ffc
100,Trevor Lawrence,QB,JAX,95.6,62,125,12.9,7,ffc
101,Kenny Gainwell,RB,TB,100.1,69,130,11.8,10,ffc
102,Xavier Worthy,WR,KC,100.4,77,119,8.7,5,ffc
103,Houston Defense,DEF,HOU,100.5,75,121,9.7,8,ffc
104,Tucker Kraft,TE,GB,100.5,56,150,18.0,11,ffc
105,Jonathon Brooks,RB,CAR,101.0,60,143,15.5,5,ffc
106,Kyle Monangai,RB,CHI,101.8,61,141,15.3,10,ffc
107,Matthew Golden,WR,GB,101.8,81,125,8.0,11,ffc
108,Aaron Jones Sr.,RB,MIN,103.3,70,140,13.4,6,ffc
109,Jared Goff,QB,DET,103.3,73,131,12.9,6,ffc
110,Patrick Mahomes,QB,KC,103.7,72,125,12.1,5,ffc
111,Khalil Shakir,WR,BUF,104.9,89,116,6.0,7,ffc
