rank,name,position,team,adp,high,low,stdev,bye,source
1,Jahmyr Gibbs,RB,DET,1.5,1,3,0.7,6,ffc
2,Bijan Robinson,RB,ATL,2.3,1,4,0.6,11,ffc
3,Puka Nacua,WR,LAR,3.1,2,6,0.6,11,ffc
4,Ja'Marr Chase,WR,CIN,3.9,1,8,1.0,6,ffc
5,Jaxon Smith-Njigba,WR,SEA,5.1,1,9,1.5,11,ffc
6,Jonathan Taylor,RB,IND,6.0,1,11,1.6,13,ffc
7,Christian McCaffrey,RB,SF,6.5,3,12,1.5,8,ffc
8,Amon-Ra St. Brown,WR,DET,7.9,5,15,1.4,6,ffc
9,James Cook III,RB,BUF,9.3,4,15,1.7,7,ffc
10,Derrick Henry,RB,BAL,9.7,5,15,1.7,13,ffc
11,De'Von Achane,RB,MIA,11.8,7,17,1.7,6,ffc
12,Drake London,WR,ATL,12.4,10,15,1.4,11,ffc
13,CeeDee Lamb,WR,DAL,12.5,7,20,2.2,14,ffc
14,Justin Jefferson,WR,MIN,14.4,7,24,2.5,6,ffc
15,Ashton Jeanty,RB,LV,14.8,6,23,3.3,13,ffc
16,Rashee Rice,WR,KC,15.1,11,19,1.7,5,ffc
17,Chase Brown,RB,CIN,15.3,7,22,2.8,6,ffc
18,Saquon Barkley,RB,PHI,17.6,9,26,3.2,10,ffc
19,Nico Collins,WR,HOU,19.2,13,27,2.5,8,ffc
20,George Pickens,WR,DAL,19.9,13,26,2.6,14,ffc
21,A.J. Brown,WR,NE,20.0,11,28,3.1,11,ffc
22,Kenneth Walker,RB,KC,20.9,11,30,3.7,5,ffc
23,Chris Olave,WR,NO,23.5,16,31,2.6,8,ffc
24,Omarion Hampton,RB,LAC,24.3,14,33,3.8,7,ffc
25,Josh Jacobs,RB,GB,25.1,16,34,3.4,11,ffc
26,Zay Flowers,WR,BAL,25.7,20,33,2.5,13,ffc
27,Malik Nabers,WR,NYG,26.8,17,34,3.4,8,ffc
28,Kyren Williams,RB,LAR,27.4,19,38,3.2,11,ffc
29,Jeremiyah Love,RB,ARI,29.4,19,36,3.9,14,ffc
30,Tetairoa McMillan,WR,CAR,30.9,22,42,3.2,5,ffc
31,Garrett Wilson,WR,NYJ,31.5,25,40,3.2,13,ffc
32,DeVonta Smith,WR,PHI,31.6,23,45,3.3,10,ffc
33,Josh Allen,QB,BUF,33.0,14,47,7.2,7,ffc
34,Javonte Williams,RB,DAL,33.3,23,44,3.8,14,ffc
35,Emeka Egbuka,WR,TB,33.5,24,42,3.4,10,ffc
36,Breece Hall,RB,NYJ,35.0,24,51,4.0,13,ffc
37,Tee Higgins,WR,CIN,36.1,25,47,4.1,6,ffc
38,Cam Skattebo,RB,NYG,37.0,25,48,4.6,8,ffc
39,Trey McBride,TE,ARI,37.8,19,50,6.8,14,ffc
40,Davante Adams,WR,LAR,37.9,27,51,4.2,11,ffc
41,Travis Etienne Jr.,RB,NO,38.6,27,50,4.2,8,ffc
42,Jameson Williams,WR,DET,39.3,28,49,4.1,6,ffc
43,Ladd McConkey,WR,LAC,41.1,30,53,4.0,7,ffc
44,D'Andre Swift,RB,CHI,43.3,32,52,4.2,10,ffc
45,Brock Bowers,TE,LV,43.5,19,60,9.2,13,ffc
46,Terry McLaurin,WR,WAS,44.8,32,59,4.8,7,ffc
47,DJ Moore,WR,BUF,45.6,31,67,5.4,7,ffc
48,Bucky Irving,RB,TB,46.5,30,59,6.1,10,ffc
49,Jaylen Waddle,WR,DEN,47.8,30,69,6.5,10,ffc
50,Rome Odunze,WR,CHI,48.4,32,68,6.2,10,ffc
51,Drake Maye,QB,NE,51.4,30,65,8.2,11,ffc
52,Quinshon Judkins,RB,CLE,51.8,35,66,6.1,11,ffc
53,Ollie Gordon II,RB,MIA,52.0,52,52,0.0,6,ffc
54,Bhayshul Tuten,RB,JAX,52.7,38,65,5.5,7,ffc
55,Mike Evans,WR,SF,54.2,37,70,6.4,8,ffc
56,David Montgomery,RB,HOU,55.3,40,69,5.5,8,ffc
57,Lamar Jackson,QB,BAL,55.6,29,69,10.0,13,ffc
58,Christian Watson,WR,GB,56.2,41,74,5.5,11,ffc
59,Joe Burrow,QB,CIN,57.1,36,70,7.9,6,ffc
60,Courtland Sutton,WR,DEN,58.9,45,73,5.7,10,ffc
61,Luther Burden III,WR,CHI,59.3,41,80,6.8,10,ffc
62,Alec Pierce,WR,IND,60.2,47,76,6.8,13,ffc
63,Colston Loveland,TE,CHI,62.2,40,84,8.3,10,ffc
64,Jaylen Warren,RB,PIT,62.4,51,72,4.0,9,ffc
65,TreVeyon Henderson,RB,NE,62.4,45,81,6.3,11,ffc
66,DK Metcalf,WR,PIT,63.9,45,85,6.9,9,ffc
67,Rhamondre Stevenson,RB,NE,65.1,50,80,6.7,11,ffc
68,Parker Washington,WR,JAX,65.2,50,83,6.7,7,ffc
69,Marvin Harrison Jr.,WR,ARI,65.2,49,83,7.5,14,ffc
70,Dak Prescott,QB,DAL,66.4,49,87,7.0,14,ffc
71,Tony Pollard,RB,TEN,67.7,56,82,6.2,9,ffc
72,Brian Thomas Jr.,WR,JAX,69.2,51,86,7.5,7,ffc
73,Jayden Daniels,QB,WAS,70.4,48,103,8.3,7,ffc
74,Tyler Warren,TE,IND,73.2,49,93,9.0,13,ffc
75,Jadarian Price,RB,SEA,73.7,48,103,9.5,11,ffc
76,Rico Dowdle,RB,PIT,74.2,55,94,7.2,9,ffc
77,Michael Wilson,WR,ARI,75.1,55,94,7.4,14,ffc
78,Matthew Stafford,QB,LAR,75.4,51,110,11.4,11,ffc
79,Carnell Tate,WR,TEN,75.4,55,90,7.8,9,ffc
80,Chris Godwin Jr.,WR,TB,76.6,57,99,8.1,10,ffc
81,J.K. Dobbins,RB,DEN,77.8,55,114,9.4,10,ffc
82,Jalen Hurts,QB,PHI,79.7,55,111,10.5,10,ffc
83,Seattle Defense,DEF,SEA,80.6,65,94,7.2,11,ffc
84,Michael Pittman Jr.,WR,PIT,80.9,60,98,8.0,9,ffc
85,Kyle Pitts Sr.,TE,ATL,82.7,58,112,9.2,11,ffc
86,Harold Fannin Jr.,TE,CLE,82.9,66,93,6.3,11,ffc
87,Chuba Hubbard,RB,CAR,84.2,55,116,11.1,5,ffc
88,Jakobi Meyers,WR,JAX,85.5,65,101,7.5,7,ffc
89,Jordan Addison,WR,MIN,86.8,64,103,8.7,6,ffc
90,Quentin Johnston,WR,LAC,87.7,67,117,7.9,7,ffc
91,Jayden Reed,WR,GB,89.1,66,107,8.7,11,ffc
92,Brock Purdy,QB,SF,89.3,70,116,10.7,8,ffc
93,Josh Downs,WR,IND,89.9,69,106,8.0,13,ffc
