rank,name,position,team,adp,high,low,stdev,bye,source
1,Jahmyr Gibbs,RB,DET,1.5,1,3,0.7,6,ffc
2,Bijan Robinson,RB,ATL,2.2,1,3,0.6,11,ffc
3,Puka Nacua,WR,LAR,2.8,2,3,0.4,11,ffc
4,Ja'Marr Chase,WR,CIN,3.9,1,6,1.0,6,ffc
5,Christian McCaffrey,RB,SF,5.5,2,10,1.4,8,ffc
6,Jaxon Smith-Njigba,WR,SEA,5.9,2,8,1.2,11,ffc
7,Jonathan Taylor,RB,IND,5.9,1,11,1.8,13,ffc
8,Amon-Ra St. Brown,WR,DET,7.9,5,14,1.6,6,ffc
9,James Cook III,RB,BUF,9.5,4,16,2.0,7,ffc
10,Derrick Henry,RB,BAL,9.8,5,13,1.6,13,ffc
11,De'Von Achane,RB,MIA,10.5,4,16,2.6,6,ffc
12,CeeDee Lamb,WR,DAL,12.1,7,17,2.1,14,ffc
13,Justin Jefferson,WR,MIN,13.1,7,19,2.7,6,ffc
14,Chase Brown,RB,CIN,13.6,7,21,2.7,6,ffc
15,Drake London,WR,ATL,13.9,11,19,2.0,11,ffc
16,Saquon Barkley,RB,PHI,16.7,7,25,3.4,10,ffc
17,A.J. Brown,WR,NE,17.0,13,23,2.5,11,ffc
18,Rashee Rice,WR,KC,18.3,15,21,1.6,5,ffc
19,George Pickens,WR,DAL,19.9,12,26,2.8,14,ffc
20,Kenneth Walker,RB,KC,20.3,11,30,3.6,5,ffc
21,Nico Collins,WR,HOU,21.0,15,27,2.5,8,ffc
22,Chris Olave,WR,NO,22.2,17,27,2.3,8,ffc
23,Omarion Hampton,RB,LAC,22.5,11,32,4.1,7,ffc
24,Ashton Jeanty,RB,LV,23.1,13,30,3.8,13,ffc
25,Zay Flowers,WR,BAL,23.9,18,31,2.6,13,ffc
26,Malik Nabers,WR,NYG,26.1,19,31,2.6,8,ffc
27,Jeremiyah Love,RB,ARI,27.7,20,37,3.4,14,ffc
28,Garrett Wilson,WR,NYJ,28.3,21,33,2.6,13,ffc
29,Javonte Williams,RB,DAL,28.5,19,39,3.6,14,ffc
30,Josh Allen,QB,BUF,29.7,6,41,8.8,7,ffc
31,Kyren Williams,RB,LAR,29.7,19,39,4.0,11,ffc
32,DeVonta Smith,WR,PHI,30.9,22,40,3.3,10,ffc
33,Breece Hall,RB,NYJ,31.4,19,38,4.5,13,ffc
34,Tetairoa McMillan,WR,CAR,31.8,21,43,4.2,5,ffc
35,Emeka Egbuka,WR,TB,34.2,25,45,3.5,10,ffc
36,Tee Higgins,WR,CIN,35.1,27,47,4.0,6,ffc
37,Travis Etienne Jr.,RB,NO,36.7,26,45,3.8,8,ffc
38,Jameson Williams,WR,DET,37.4,30,44,3.1,6,ffc
39,Cam Skattebo,RB,NYG,37.7,30,44,2.9,8,ffc
40,Davante Adams,WR,LAR,37.8,28,47,3.8,11,ffc
41,D'Andre Swift,RB,CHI,39.9,25,52,5.7,10,ffc
42,Brock Bowers,TE,LV,40.1,17,63,8.8,13,ffc
43,Ladd McConkey,WR,LAC,40.1,28,55,4.3,7,ffc
44,Trey McBride,TE,ARI,42.8,22,55,8.6,14,ffc
45,Bucky Irving,RB,TB,44.7,30,55,5.6,10,ffc
46,Jaylen Waddle,WR,DEN,45.1,29,65,6.1,10,ffc
47,Terry McLaurin,WR,WAS,45.1,34,56,4.2,7,ffc
48,DJ Moore,WR,BUF,45.8,29,69,6.3,7,ffc
49,Rome Odunze,WR,CHI,48.1,35,63,6.4,10,ffc
50,Quinshon Judkins,RB,CLE,50.0,37,58,4.9,11,ffc
51,Luther Burden III,WR,CHI,51.3,39,67,5.8,10,ffc
52,Bhayshul Tuten,RB,JAX,52.0,37,64,5.7,7,ffc
53,Drake Maye,QB,NE,52.1,39,62,6.1,11,ffc
54,Christian Watson,WR,GB,53.0,37,71,6.1,11,ffc
55,Joe Burrow,QB,CIN,54.6,36,65,7.2,6,ffc
56,Mike Evans,WR,SF,55.5,40,69,5.6,8,ffc
57,David Montgomery,RB,HOU,55.5,42,71,5.1,8,ffc
58,Lamar Jackson,QB,BAL,55.6,38,65,6.7,13,ffc
59,Jadarian Price,RB,SEA,56.2,36,83,7.5,11,ffc
60,Colston Loveland,TE,CHI,59.8,34,83,9.6,10,ffc
61,Courtland Sutton,WR,DEN,61.0,45,76,5.9,10,ffc
62,Alec Pierce,WR,IND,61.7,48,76,6.6,13,ffc
63,Parker Washington,WR,JAX,62.9,45,84,6.6,7,ffc
64,Dak Prescott,QB,DAL,63.4,51,78,6.8,14,ffc
65,DK Metcalf,WR,PIT,63.6,49,79,6.3,9,ffc
66,Rhamondre Stevenson,RB,NE,63.6,55,73,3.8,11,ffc
67,TreVeyon Henderson,RB,NE,65.2,51,76,5.4,11,ffc
68,Marvin Harrison Jr.,WR,ARI,66.0,50,84,7.3,14,ffc
69,Jaylen Warren,RB,PIT,68.4,58,78,4.3,9,ffc
70,Brian Thomas Jr.,WR,JAX,68.8,52,84,6.3,7,ffc
71,Tony Pollard,RB,TEN,69.6,57,78,4.8,9,ffc
72,Tyler Warren,TE,IND,70.2,47,88,8.9,13,ffc
73,Jayden Daniels,QB,WAS,72.4,53,92,8.7,7,ffc
74,Matthew Stafford,QB,LAR,72.7,60,96,7.1,11,ffc
75,Michael Wilson,WR,ARI,73.3,54,86,7.1,14,ffc
76,Harold Fannin Jr.,TE,CLE,76.1,67,84,5.2,11,ffc
77,Carnell Tate,WR,TEN,77.0,61,93,6.2,9,ffc
