rank,name,position,team,adp,high,low,stdev,bye,source
1,Jahmyr Gibbs,RB,DET,1.5,1,3,0.7,6,ffc
2,Bijan Robinson,RB,ATL,2.1,1,3,0.8,11,ffc
3,Ja'Marr Chase,WR,CIN,3.5,1,6,1.1,6,ffc
4,Puka Nacua,WR,LAR,3.7,3,6,0.7,11,ffc
5,Christian McCaffrey,RB,SF,5.4,3,8,1.1,8,ffc
6,Jonathan Taylor,RB,IND,5.6,3,11,1.6,13,ffc
7,Jaxon Smith-Njigba,WR,SEA,6.2,4,10,1.5,11,ffc
8,Amon-Ra St. Brown,WR,DET,7.7,5,11,1.6,6,ffc
9,James Cook III,RB,BUF,9.0,4,16,2.1,7,ffc
10,De'Von Achane,RB,MIA,10.5,4,16,2.3,6,ffc
11,Derrick Henry,RB,BAL,10.6,8,13,1.4,13,ffc
12,CeeDee Lamb,WR,DAL,11.8,6,15,2.2,14,ffc
13,Justin Jefferson,WR,MIN,12.9,9,19,2.7,6,ffc
14,Chase Brown,RB,CIN,13.9,8,19,2.5,6,ffc
15,Drake London,WR,ATL,14.1,14,15,0.4,11,ffc
16,Saquon Barkley,RB,PHI,16.3,8,22,2.9,10,ffc
17,A.J. Brown,WR,NE,16.9,13,21,2.1,11,ffc
18,Kenneth Walker,RB,KC,20.0,13,25,2.8,5,ffc
19,Nico Collins,WR,HOU,20.6,15,27,2.5,8,ffc
20,George Pickens,WR,DAL,20.7,15,28,2.6,14,ffc
21,Omarion Hampton,RB,LAC,21.1,11,30,3.7,7,ffc
22,Rashee Rice,WR,KC,21.2,17,26,2.9,5,ffc
23,Ashton Jeanty,RB,LV,23.5,17,30,3.3,13,ffc
24,Chris Olave,WR,NO,23.8,19,30,2.9,8,ffc
25,Zay Flowers,WR,BAL,24.8,19,28,2.6,13,ffc
26,Jeremiyah Love,RB,ARI,27.0,20,38,3.8,14,ffc
27,Javonte Williams,RB,DAL,27.3,21,35,3.2,14,ffc
28,Kyren Williams,RB,LAR,28.3,18,36,3.8,11,ffc
29,Malik Nabers,WR,NYG,28.6,18,39,4.6,8,ffc
30,Garrett Wilson,WR,NYJ,29.1,24,35,3.0,13,ffc
31,DeVonta Smith,WR,PHI,29.1,22,36,3.4,10,ffc
32,Josh Allen,QB,BUF,30.1,10,41,7.6,7,ffc
33,Breece Hall,RB,NYJ,30.2,24,35,4.0,13,ffc
34,Tetairoa McMillan,WR,CAR,31.4,21,40,4.7,5,ffc
35,Travis Etienne Jr.,RB,NO,33.5,24,43,5.0,8,ffc
36,Davante Adams,WR,LAR,34.8,27,43,4.0,11,ffc
37,Emeka Egbuka,WR,TB,35.1,29,45,3.5,10,ffc
38,Tee Higgins,WR,CIN,36.1,27,43,3.3,6,ffc
39,Cam Skattebo,RB,NYG,36.3,26,42,3.8,8,ffc
40,Jameson Williams,WR,DET,37.8,30,44,3.1,6,ffc
41,D'Andre Swift,RB,CHI,39.8,24,51,5.8,10,ffc
42,Ladd McConkey,WR,LAC,39.8,27,51,4.6,7,ffc
43,Brock Bowers,TE,LV,40.5,16,56,9.3,13,ffc
44,Jaylen Waddle,WR,DEN,43.8,32,62,5.3,10,ffc
45,Trey McBride,TE,ARI,44.0,23,58,11.3,14,ffc
46,Terry McLaurin,WR,WAS,45.9,38,54,3.9,7,ffc
47,Bucky Irving,RB,TB,46.2,28,55,6.8,10,ffc
48,DJ Moore,WR,BUF,47.6,33,61,5.3,7,ffc
49,Rome Odunze,WR,CHI,49.1,40,63,5.4,10,ffc
50,Drake Maye,QB,NE,49.4,39,59,6.5,11,ffc
51,Christian Watson,WR,GB,50.1,41,63,4.9,11,ffc
52,Quinshon Judkins,RB,CLE,50.1,38,55,4.4,11,ffc
53,Luther Burden III,WR,CHI,51.0,40,66,6.1,10,ffc
54,David Montgomery,RB,HOU,51.4,41,65,5.9,8,ffc
55,Bhayshul Tuten,RB,JAX,52.8,37,63,5.8,7,ffc
56,Joe Burrow,QB,CIN,53.7,30,66,9.6,6,ffc
57,Mike Evans,WR,SF,56.8,45,70,5.8,8,ffc
58,Jadarian Price,RB,SEA,57.2,39,75,6.8,11,ffc
59,Lamar Jackson,QB,BAL,57.8,40,69,6.7,13,ffc
60,Rhamondre Stevenson,RB,NE,59.6,44,68,5.8,11,ffc
61,TreVeyon Henderson,RB,NE,60.4,50,71,6.0,11,ffc
62,DK Metcalf,WR,PIT,60.4,46,76,7.2,9,ffc
63,Parker Washington,WR,JAX,60.4,40,81,7.8,7,ffc
64,Colston Loveland,TE,CHI,61.1,36,82,9.5,10,ffc
65,Dak Prescott,QB,DAL,63.2,51,75,6.6,14,ffc
66,Courtland Sutton,WR,DEN,63.3,54,76,4.9,10,ffc
67,Alec Pierce,WR,IND,65.3,48,79,6.7,13,ffc
68,Jaylen Warren,RB,PIT,66.3,58,75,4.3,9,ffc
69,Tony Pollard,RB,TEN,68.2,51,76,6.3,9,ffc
70,Marvin Harrison Jr.,WR,ARI,68.8,50,81,7.4,14,ffc
71,Brian Thomas Jr.,WR,JAX,71.4,58,82,6.7,7,ffc
72,Tyler Warren,TE,IND,71.8,48,90,9.1,13,ffc
73,Matthew Stafford,QB,LAR,72.0,54,103,9.1,11,ffc
