rank,name,position,team,adp,high,low,stdev,bye,source
1,Jahmyr Gibbs,RB,DET,1.5,1,3,0.7,6,ffc
2,Bijan Robinson,RB,ATL,2.2,1,4,0.6,11,ffc
3,Puka Nacua,WR,LAR,2.9,1,5,0.7,11,ffc
4,Ja'Marr Chase,WR,CIN,3.9,1,7,0.9,6,ffc
5,Jaxon Smith-Njigba,WR,SEA,5.6,2,9,1.2,11,ffc
6,Jonathan Taylor,RB,IND,5.8,1,11,1.7,13,ffc
7,Christian McCaffrey,RB,SF,6.2,2,10,1.6,8,ffc
8,Amon-Ra St. Brown,WR,DET,7.6,3,14,1.6,6,ffc
9,James Cook III,RB,BUF,9.3,4,15,1.8,7,ffc
10,Derrick Henry,RB,BAL,10.1,6,13,1.5,13,ffc
11,De'Von Achane,RB,MIA,10.9,4,16,2.5,6,ffc
12,CeeDee Lamb,WR,DAL,12.0,6,19,2.2,14,ffc
13,Justin Jefferson,WR,MIN,13.1,6,19,2.6,6,ffc
14,Chase Brown,RB,CIN,13.7,6,22,2.6,6,ffc
15,Drake London,WR,ATL,13.8,8,19,1.9,11,ffc
16,Saquon Barkley,RB,PHI,16.5,8,25,3.2,10,ffc
17,A.J. Brown,WR,NE,17.1,11,24,2.6,11,ffc
18,Rashee Rice,WR,KC,17.3,12,23,2.0,5,ffc
19,George Pickens,WR,DAL,19.3,12,26,2.7,14,ffc
20,Kenneth Walker,RB,KC,20.5,11,30,3.6,5,ffc
21,Nico Collins,WR,HOU,21.1,15,27,2.4,8,ffc
22,Omarion Hampton,RB,LAC,22.2,11,32,4.1,7,ffc
23,Ashton Jeanty,RB,LV,23.1,13,30,3.6,13,ffc
24,Zay Flowers,WR,BAL,23.1,17,31,2.5,13,ffc
25,Chris Olave,WR,NO,23.2,16,31,2.9,8,ffc
26,Malik Nabers,WR,NYG,26.0,18,34,3.0,8,ffc
27,Kyren Williams,RB,LAR,27.6,18,39,3.5,11,ffc
28,Jeremiyah Love,RB,ARI,28.7,20,37,3.0,14,ffc
29,Garrett Wilson,WR,NYJ,29.5,21,37,3.0,13,ffc
30,Javonte Williams,RB,DAL,30.2,19,42,4.1,14,ffc
31,Josh Allen,QB,BUF,30.6,10,45,7.8,7,ffc
32,DeVonta Smith,WR,PHI,30.8,22,40,3.3,10,ffc
33,Tetairoa McMillan,WR,CAR,31.4,23,43,3.9,5,ffc
34,Breece Hall,RB,NYJ,31.6,21,42,4.0,13,ffc
35,Tee Higgins,WR,CIN,34.4,25,47,3.7,6,ffc
36,Emeka Egbuka,WR,TB,35.3,25,45,3.7,10,ffc
37,Travis Etienne Jr.,RB,NO,37.4,27,48,3.7,8,ffc
38,Davante Adams,WR,LAR,37.6,28,48,3.6,11,ffc
39,Jameson Williams,WR,DET,37.8,27,45,4.0,6,ffc
40,Cam Skattebo,RB,NYG,38.3,29,50,4.1,8,ffc
41,Trey McBride,TE,ARI,39.4,17,55,8.6,14,ffc
42,Brock Bowers,TE,LV,40.3,18,63,8.4,13,ffc
43,Ladd McConkey,WR,LAC,40.6,29,56,4.3,7,ffc
44,D'Andre Swift,RB,CHI,41.0,27,55,5.2,10,ffc
45,Jaylen Waddle,WR,DEN,44.7,31,65,5.0,10,ffc
46,Terry McLaurin,WR,WAS,45.0,33,57,4.7,7,ffc
47,Bucky Irving,RB,TB,47.2,34,60,5.2,10,ffc
48,DJ Moore,WR,BUF,47.6,31,69,6.1,7,ffc
49,Rome Odunze,WR,CHI,48.8,31,67,6.5,10,ffc
50,Quinshon Judkins,RB,CLE,49.4,35,60,5.4,11,ffc
51,Drake Maye,QB,NE,51.8,31,66,7.7,11,ffc
52,Bhayshul Tuten,RB,JAX,51.9,35,67,6.1,7,ffc
53,Luther Burden III,WR,CHI,53.6,38,69,5.8,10,ffc
54,Christian Watson,WR,GB,53.8,39,71,5.6,11,ffc
55,Joe Burrow,QB,CIN,54.3,36,67,6.8,6,ffc
56,Mike Evans,WR,SF,55.0,40,71,5.7,8,ffc
57,David Montgomery,RB,HOU,55.1,42,71,4.9,8,ffc
58,Lamar Jackson,QB,BAL,55.8,35,70,7.7,13,ffc
59,Colston Loveland,TE,CHI,58.2,34,83,9.2,10,ffc
60,Courtland Sutton,WR,DEN,61.4,45,77,6.2,10,ffc
61,Alec Pierce,WR,IND,61.7,47,76,6.8,13,ffc
62,Rhamondre Stevenson,RB,NE,62.9,50,76,5.0,11,ffc
63,Jaylen Warren,RB,PIT,63.1,50,78,5.8,9,ffc
64,Parker Washington,WR,JAX,63.1,44,84,7.0,7,ffc
65,DK Metcalf,WR,PIT,63.2,45,79,7.1,9,ffc
66,TreVeyon Henderson,RB,NE,64.2,48,76,5.9,11,ffc
67,Marvin Harrison Jr.,WR,ARI,65.3,46,84,7.2,14,ffc
68,Dak Prescott,QB,DAL,65.8,52,92,6.5,14,ffc
69,Jadarian Price,RB,SEA,67.1,39,98,10.5,11,ffc
70,Tony Pollard,RB,TEN,68.6,58,85,4.8,9,ffc
71,Tyler Warren,TE,IND,69.4,47,89,8.5,13,ffc
72,Brian Thomas Jr.,WR,JAX,71.1,53,86,6.7,7,ffc
73,Michael Wilson,WR,ARI,72.9,55,88,6.8,14,ffc
74,Jayden Daniels,QB,WAS,73.9,47,110,11.7,7,ffc
75,Rico Dowdle,RB,PIT,74.5,51,100,8.8,9,ffc
76,Josh Jacobs,RB,GB,75.0,24,105,19.5,11,ffc
77,Matthew Stafford,QB,LAR,75.5,60,106,10.3,11,ffc
78,Carnell Tate,WR,TEN,75.8,57,93,6.9,9,ffc
79,Harold Fannin Jr.,TE,CLE,76.0,61,86,6.4,11,ffc
80,Chris Godwin Jr.,WR,TB,78.0,56,97,8.2,10,ffc
81,J.K. Dobbins,RB,DEN,79.5,57,100,8.6,10,ffc
82,Jalen Hurts,QB,PHI,81.5,48,115,12.7,10,ffc
83,Michael Pittman Jr.,WR,PIT,81.7,60,102,8.2,9,ffc
84,Seattle Defense,DEF,SEA,85.0,64,98,7.7,11,ffc
85,Quentin Johnston,WR,LAC,85.0,62,106,8.5,7,ffc
86,Jayden Reed,WR,GB,85.5,65,103,7.6,11,ffc
87,Brock Purdy,QB,SF,86.3,61,115,13.2,8,ffc
88,Jakobi Meyers,WR,JAX,87.8,68,101,8.3,7,ffc
89,Chuba Hubbard,RB,CAR,87.9,61,118,10.3,5,ffc
90,Caleb Williams,QB,CHI,88.6,58,120,13.4,10,ffc
91,George Kittle,TE,SF,89.8,60,141,12.8,8,ffc
92,Jordan Addison,WR,MIN,90.4,66,110,9.1,6,ffc
93,Jonathon Brooks,RB,CAR,90.5,63,116,10.4,5,ffc
94,Denver Defense,DEF,DEN,90.6,66,111,9.4,10,ffc
95,Trevor Lawrence,QB,JAX,92.5,53,125,14.8,7,ffc
96,Tucker Kraft,TE,GB,93.5,59,158,17.6,11,ffc
97,Josh Downs,WR,IND,94.5,66,118,10.9,13,ffc
98,Wan'Dale Robinson,WR,TEN,94.7,71,112,8.8,9,ffc
99,Kyle Pitts Sr.,TE,ATL,94.9,60,141,16.1,11,ffc
100,Stefon Diggs,WR,WAS,96.9,68,121,10.7,7,ffc
101,Houston Defense,DEF,HOU,97.4,72,120,10.2,8,ffc
102,Xavier Worthy,WR,KC,97.8,72,114,9.9,5,ffc
103,Romeo Doubs,WR,NE,99.0,67,120,11.9,11,ffc
104,Matthew Golden,WR,GB,99.2,73,120,9.8,11,ffc
105,Kenny Gainwell,RB,TB,100.4,69,126,12.0,10,ffc
106,Jacory Croskey-Merritt,RB,WAS,101.2,69,135,12.3,7,ffc
107,Jared Goff,QB,DET,101.2,77,131,11.9,6,ffc
108,LA Rams Defense,DEF,LAR,103.0,78,125,9.4,11,ffc
109,Patrick Mahomes,QB,KC,103.9,73,132,13.3,5,ffc
110,Aaron Jones Sr.,RB,MIN,104.2,70,133,13.7,6,ffc
111,Justin Herbert,QB,LAC,104.3,66,140,14.6,7,ffc
112,Khalil Shakir,WR,BUF,106.3,85,119,8.2,7,ffc
113,Kyle Monangai,RB,CHI,107.2,77,133,11.3,10,ffc
114,RJ Harvey,RB,DEN,108.0,75,140,12.5,10,ffc
115,Sam LaPorta,TE,DET,109.7,56,155,20.4,6,ffc
116,Deebo Samuel Sr.,WR,SF,109.8,90,124,7.6,8,ffc
117,Minnesota Defense,DEF,MIN,109.9,87,128,9.9,6,ffc
118,Jordan Mason,RB,MIN,110.4,71,149,15.1,6,ffc
119,Bo Nix,QB,DEN,112.0,71,140,15.4,10,ffc
120,KC Concepcion,WR,CLE,113.9,90,137,8.9,11,ffc
121,MarShawn Lloyd,RB,GB,114.5,54,180,24.9,11,ffc
122,Jalen Coker,WR,CAR,114.9,96,130,7.1,5,ffc
123,Blake Corum,RB,LAR,117.7,79,145,14.8,11,ffc
124,Rashid Shaheed,WR,SEA,118.5,98,137,7.8,11,ffc
125,Dallas Goedert,TE,PHI,119.3,82,156,20.2,10,ffc
126,New England Defense,DEF,NE,120.0,103,149,11.1,11,ffc
127,Jaxson Dart,QB,NYG,122.9,91,143,12.0,8,ffc
128,De'Zhaun Stribling,WR,SF,124.4,89,150,13.4,8,ffc
129,Jerry Jeudy,WR,CLE,126.1,99,147,10.1,11,ffc
130,Philadelphia Defense,DEF,PHI,127.4,88,179,16.2,10,ffc
131,Rachaad White,RB,WAS,127.9,89,150,14.7,7,ffc
132,Tre Tucker,WR,LV,129.1,102,149,10.3,13,ffc
133,Brandon Aubrey,PK,DAL,129.2,70,183,22.7,14,ffc
134,Makai Lemon,WR,PHI,129.3,97,152,12.4,10,ffc
135,Detroit Defense,DEF,DET,131.5,112,146,7.3,6,ffc
136,Jalen McMillan,WR,TB,132.2,106,150,9.8,10,ffc
137,Travis Kelce,TE,KC,132.3,90,167,16.9,5,ffc
138,Kyler Murray,QB,MIN,132.9,100,154,12.6,6,ffc
139,Isaiah Likely,TE,NYG,133.7,85,175,20.0,8,ffc
140,Mark Andrews,TE,BAL,134.2,91,169,16.6,13,ffc
141,Baker Mayfield,QB,TB,134.8,105,152,11.1,10,ffc
142,Woody Marks,RB,HOU,135.5,87,168,18.4,8,ffc
143,Tyjae Spears,RB,TEN,137.2,72,170,25.0,9,ffc
144,Jason Myers,PK,SEA,137.2,87,159,23.6,11,ffc
145,Ka'imi Fairbairn,PK,HOU,137.4,87,161,25.8,8,ffc
146,Denzel Boston,WR,CLE,138.1,116,152,8.4,11,ffc
147,Cameron Dicker,PK,LAC,139.1,90,186,20.8,7,ffc
148,Zach Charbonnet,RB,SEA,139.4,88,174,19.4,11,ffc
149,Keenan Allen,WR,IND,139.9,116,166,10.6,13,ffc
150,Rashod Bateman,WR,BAL,140.0,101,159,14.8,13,ffc
151,Pittsburgh Defense,DEF,PIT,140.5,106,199,17.3,9,ffc
152,Harrison Mevis,PK,LAR,140.8,115,165,14.7,11,ffc
153,Calvin Ridley,WR,TEN,140.9,96,167,17.1,9,ffc
154,Jauan Jennings,WR,MIN,142.6,125,167,11.3,6,ffc
155,Tyler Shough,QB,NO,142.7,115,170,10.4,8,ffc
156,Dalton Kincaid,TE,BUF,143.8,94,177,19.0,7,ffc
157,LA Chargers Defense,DEF,LAC,144.7,109,180,13.5,7,ffc
158,Jake Bates,PK,DET,145.4,116,187,16.8,6,ffc
159,Jake Ferguson,TE,DAL,146.7,93,176,20.6,14,ffc
160,Jordan Love,QB,GB,146.7,114,171,12.3,11,ffc
161,Cam Little,PK,JAX,148.0,96,205,21.1,7,ffc
162,Malik Washington,WR,MIA,148.2,114,175,14.3,6,ffc
163,Jonah Coleman,RB,DEN,149.1,111,209,31.4,10,ffc
164,Chase McLaughlin,PK,TB,149.1,104,173,17.1,10,ffc
165,Jalen Nailor,WR,LV,149.1,122,171,12.8,13,ffc
166,Kayshon Boutte,WR,HOU,151.9,118,176,13.0,8,ffc
167,Sam Darnold,QB,SEA,152.0,120,173,12.1,11,ffc
168,Tyler Allgeier,RB,ARI,152.0,111,188,17.5,14,ffc
169,Cooper Kupp,WR,SEA,152.7,114,177,14.8,11,ffc
170,Dalton Schultz,TE,HOU,153.8,119,197,29.1,8,ffc
171,Juwan Johnson,TE,NO,154.7,116,193,17.5,8,ffc
172,Brenton Strange,TE,JAX,154.9,119,196,23.8,7,ffc
173,Will Reichard,PK,MIN,155.2,119,190,17.3,6,ffc
174,Tyler Loop,PK,BAL,155.2,119,205,22.0,13,ffc
175,Chris Rodriguez Jr.,RB,JAX,155.3,112,193,16.4,7,ffc
176,Keaton Mitchell,RB,LAC,156.0,122,181,15.2,7,ffc
177,Braelon Allen,RB,NYJ,156.1,124,195,21.0,13,ffc
178,Dontayvion Wicks,WR,PHI,157.2,120,180,15.3,10,ffc
179,Ryan Flournoy,WR,DAL,157.5,117,179,15.4,14,ffc
180,Trey Smack,PK,GB,157.7,144,198,19.0,11,ffc
181,Jacksonville Defense,DEF,JAX,157.7,118,203,14.9,7,ffc
182,Mike Washington Jr.,RB,LV,158.4,117,206,22.1,13,ffc
183,Alvin Kamara,RB,NO,158.5,114,178,16.7,8,ffc
184,Adonai Mitchell,WR,NYJ,158.5,144,179,10.8,13,ffc
185,Jordyn Tyson,WR,NO,158.8,118,179,15.6,8,ffc
186,Harrison Butker,PK,KC,159.0,109,205,19.6,5,ffc
187,Chris Boswell,PK,PIT,159.1,142,178,15.6,9,ffc
188,Kaelon Black,RB,SF,159.2,106,209,24.6,8,ffc
189,Isiah Pacheco,RB,DET,159.3,108,197,21.7,6,ffc
190,T.J. Hockenson,TE,MIN,160.2,96,202,33.2,6,ffc
191,Ray Davis,RB,BUF,160.3,153,178,8.4,7,ffc
192,Hunter Henry,TE,NE,160.4,116,180,17.0,11,ffc
193,Tank Bigsby,RB,PHI,160.5,116,203,20.9,10,ffc
194,Tyrone Tracy Jr.,RB,NYG,160.9,126,192,21.6,8,ffc
195,Ja'Kobi Lane,WR,BAL,161.2,135,199,17.3,13,ffc
196,Brian Robinson,RB,ATL,161.3,87,203,31.7,11,ffc
197,Travis Hunter,WR,JAX,161.9,136,179,13.0,7,ffc
198,C.J. Stroud,QB,HOU,162.6,127,180,13.4,8,ffc
199,Devaughn Vele,WR,NO,163.0,147,174,8.5,8,ffc
200,Daniel Jones,QB,IND,163.5,131,183,12.2,13,ffc
201,Atlanta Defense,DEF,ATL,163.8,129,199,13.0,11,ffc
202,Baltimore Defense,DEF,BAL,163.9,111,208,20.1,13,ffc
203,Wil Lutz,PK,DEN,164.0,120,200,16.6,10,ffc
204,Jaylin Noel,WR,HOU,164.6,148,194,15.4,8,ffc
205,Malik Willis,QB,MIA,164.9,142,198,13.4,6,ffc
206,Buffalo Defense,DEF,BUF,165.0,133,210,15.9,7,ffc
207,Emmett Johnson,RB,KC,165.9,125,204,21.0,5,ffc
208,Dylan Sampson,RB,CLE,166.7,124,189,20.6,11,ffc
209,NY Giants Defense,DEF,NYG,167.7,139,210,26.3,8,ffc
210,Cairo Santos,PK,CHI,168.0,136,205,18.8,10,ffc
211,Jacoby Brissett,QB,ARI,168.2,127,187,15.8,14,ffc
212,Eddy Piñeiro,PK,SF,169.2,122,205,17.8,8,ffc
213,Chris Bell,WR,MIA,169.6,143,204,25.6,6,ffc
214,Evan McPherson,PK,CIN,169.7,126,204,16.6,6,ffc
215,Troy Franklin,WR,DEN,170.2,151,204,15.9,10,ffc
216,Chig Okonkwo,TE,WAS,171.1,102,210,26.2,7,ffc
217,Cyrus Allen,WR,KC,171.2,141,184,17.4,5,ffc
218,Justice Hill,RB,BAL,172.2,138,193,22.1,13,ffc
219,Caleb Douglas,WR,MIA,173.0,147,203,17.0,6,ffc
220,Cleveland Defense,DEF,CLE,173.6,149,206,14.2,11,ffc
221,Tyler Bass,PK,BUF,175.0,142,198,18.2,7,ffc
222,Terrance Ferguson,TE,LAR,176.3,136,203,20.3,11,ffc
223,Tampa Bay Defense,DEF,TB,176.6,173,180,3.0,10,ffc
224,Andy Borregales,PK,NE,181.4,139,206,26.4,11,ffc
225,New Orleans Defense,DEF,NO,181.6,143,199,19.1,8,ffc
226,Isaac TeSlaa,WR,DET,183.7,175,196,7.7,6,ffc
227,Tennessee Defense,DEF,TEN,187.8,159,210,15.7,9,ffc
1,Jahmyr Gibbs,RB,DET,1.0,1,1,0.00,6,fantasypros
2,Bijan Robinson,RB,ATL,2.0,2,2,0.00,11,fantasypros
3,Ja'Marr Chase,WR,CIN,3.0,3,3,0.00,6,fantasypros
4,Puka Nacua,WR,LAR,4.67,4,6,0.94,11,fantasypros
5,Christian McCaffrey,RB,SF,4.67,4,5,0.47,8,fantasypros
6,Jonathan Taylor,RB,IND,6.0,5,7,0.82,13,fantasypros
7,Jaxon Smith-Njigba,WR,SEA,7.0,6,8,0.82,11,fantasypros
8,Amon-Ra St. Brown,WR,DET,7.67,7,8,0.47,6,fantasypros
9,James Cook III,RB,BUF,9.0,9,9,0.00,7,fantasypros
10,Justin Jefferson,WR,MIN,11.67,11,12,0.47,6,fantasypros
