rank,name,position,team,adp,high,low,stdev,bye,source
1,Jahmyr Gibbs,RB,DET,1.5,1,3,0.7,6,ffc
2,Bijan Robinson,RB,ATL,2.2,1,3,0.7,11,ffc
3,Puka Nacua,WR,LAR,2.9,2,3,0.3,11,ffc
4,Ja'Marr Chase,WR,CIN,4.8,1,9,1.4,6,ffc
5,Christian McCaffrey,RB,SF,4.9,3,8,1.2,8,ffc
6,Jonathan Taylor,RB,IND,5.9,3,8,1.1,13,ffc
7,Jaxon Smith-Njigba,WR,SEA,7.1,3,12,1.5,11,ffc
8,Amon-Ra St. Brown,WR,DET,8.3,5,13,1.7,6,ffc
9,De'Von Achane,RB,MIA,9.3,5,12,1.7,6,ffc
10,Derrick Henry,RB,BAL,9.7,6,13,1.4,13,ffc
11,James Cook III,RB,BUF,10.2,5,15,1.7,7,ffc
12,CeeDee Lamb,WR,DAL,12.6,8,20,2.7,14,ffc
13,Ashton Jeanty,RB,LV,12.7,3,20,3.6,13,ffc
14,Drake London,WR,ATL,12.8,9,15,1.6,11,ffc
15,Justin Jefferson,WR,MIN,13.7,8,20,2.7,6,ffc
16,A.J. Brown,WR,NE,16.2,10,21,2.8,11,ffc
17,Saquon Barkley,RB,PHI,16.6,9,23,2.9,10,ffc
18,Omarion Hampton,RB,LAC,17.5,9,27,3.1,7,ffc
19,Kenneth Walker III,RB,KC,18.1,9,27,3.5,5,ffc
20,George Pickens,WR,DAL,19.5,15,28,2.9,14,ffc
21,Chase Brown,RB,CIN,20.0,13,27,2.6,6,ffc
22,Chris Olave,WR,NO,23.4,18,31,2.9,8,ffc
23,Nico Collins,WR,HOU,23.5,15,30,2.9,8,ffc
24,Josh Jacobs,RB,GB,23.9,15,31,3.8,11,ffc
25,Jeremiyah Love,RB,ARI,26.5,18,34,3.2,14,ffc
26,Tee Higgins,WR,CIN,26.8,20,31,3.7,6,ffc
27,Rashee Rice,WR,KC,27.2,17,35,3.6,5,ffc
28,Josh Allen,QB,BUF,27.3,12,36,5.8,7,ffc
29,DeVonta Smith,WR,PHI,29.7,25,37,2.4,10,ffc
30,Zay Flowers,WR,BAL,29.7,20,41,6.0,13,ffc
31,Breece Hall,RB,NYJ,29.9,21,36,3.1,13,ffc
32,Kyren Williams,RB,LAR,31.6,22,43,3.5,11,ffc
33,Javonte Williams,RB,DAL,31.6,22,41,3.7,14,ffc
34,Garrett Wilson,WR,NYJ,31.9,26,38,2.6,13,ffc
35,Tetairoa McMillan,WR,CAR,34.5,27,45,3.6,5,ffc
