rank,name,position,team,adp,high,low,stdev,bye,source
1,Jahmyr Gibbs,RB,DET,1.5,1,3,0.7,6,ffc
2,Bijan Robinson,RB,ATL,2.0,1,3,0.7,11,ffc
3,Puka Nacua,WR,LAR,3.0,1,4,0.5,11,ffc
4,Ja'Marr Chase,WR,CIN,4.1,1,7,0.9,6,ffc
5,Jaxon Smith-Njigba,WR,SEA,5.4,2,8,1.3,11,ffc
6,Jonathan Taylor,RB,IND,5.9,3,10,1.3,13,ffc
7,Christian McCaffrey,RB,SF,6.8,3,11,1.6,8,ffc
8,Amon-Ra St. Brown,WR,DET,7.6,3,12,1.5,6,ffc
9,James Cook III,RB,BUF,8.9,3,16,2.0,7,ffc
10,Derrick Henry,RB,BAL,10.5,6,15,1.5,13,ffc
11,De'Von Achane,RB,MIA,11.6,5,18,2.2,6,ffc
12,Drake London,WR,ATL,11.8,9,15,1.5,11,ffc
13,CeeDee Lamb,WR,DAL,12.7,6,18,2.2,14,ffc
14,Justin Jefferson,WR,MIN,14.1,8,20,2.2,6,ffc
15,Chase Brown,RB,CIN,15.0,9,22,2.6,6,ffc
16,Ashton Jeanty,RB,LV,15.7,8,23,2.8,13,ffc
17,Rashee Rice,WR,KC,16.2,12,20,2.1,5,ffc
18,Saquon Barkley,RB,PHI,18.0,9,28,3.2,10,ffc
19,A.J. Brown,WR,NE,18.8,12,28,2.9,11,ffc
20,George Pickens,WR,DAL,19.3,15,29,2.5,14,ffc
21,Nico Collins,WR,HOU,21.1,16,29,2.3,8,ffc
22,Omarion Hampton,RB,LAC,22.2,12,30,3.9,7,ffc
23,Kenneth Walker,RB,KC,22.5,11,32,4.0,5,ffc
24,Chris Olave,WR,NO,24.3,17,31,2.5,8,ffc
25,Zay Flowers,WR,BAL,24.3,18,31,2.6,13,ffc
26,Josh Jacobs,RB,GB,26.9,20,34,2.6,11,ffc
27,Malik Nabers,WR,NYG,27.3,18,38,3.3,8,ffc
28,Kyren Williams,RB,LAR,27.4,18,34,3.4,11,ffc
