rank,name,position,team,adp,high,low,stdev,bye,source
1,Jahmyr Gibbs,RB,DET,1.5,1,3,0.7,6,ffc
2,Bijan Robinson,RB,ATL,2.1,1,3,0.7,11,ffc
3,Puka Nacua,WR,LAR,3.0,1,5,0.5,11,ffc
4,Ja'Marr Chase,WR,CIN,4.0,1,7,1.0,6,ffc
5,Jaxon Smith-Njigba,WR,SEA,5.4,1,9,1.3,11,ffc
6,Jonathan Taylor,RB,IND,5.7,3,10,1.3,13,ffc
7,Christian McCaffrey,RB,SF,6.8,2,11,1.6,8,ffc
8,Amon-Ra St. Brown,WR,DET,7.8,4,12,1.5,6,ffc
9,James Cook III,RB,BUF,9.0,4,15,1.8,7,ffc
10,Derrick Henry,RB,BAL,10.3,6,14,1.3,13,ffc
11,De'Von Achane,RB,MIA,11.3,6,17,1.9,6,ffc
12,Drake London,WR,ATL,12.1,9,15,1.4,11,ffc
13,CeeDee Lamb,WR,DAL,12.6,6,18,2.3,14,ffc
14,Justin Jefferson,WR,MIN,13.9,7,20,2.5,6,ffc
15,Chase Brown,RB,CIN,14.8,7,22,2.9,6,ffc
16,Ashton Jeanty,RB,LV,15.7,8,23,2.9,13,ffc
17,Rashee Rice,WR,KC,16.7,13,22,2.1,5,ffc
18,Saquon Barkley,RB,PHI,17.4,9,26,3.0,10,ffc
19,George Pickens,WR,DAL,19.2,15,29,2.6,14,ffc
20,A.J. Brown,WR,NE,19.8,12,28,2.7,11,ffc
21,Nico Collins,WR,HOU,21.7,16,29,2.3,8,ffc
22,Kenneth Walker,RB,KC,22.0,11,31,3.9,5,ffc
23,Omarion Hampton,RB,LAC,22.8,13,33,3.7,7,ffc
24,Zay Flowers,WR,BAL,24.2,19,30,2.3,13,ffc
25,Chris Olave,WR,NO,24.2,19,30,1.9,8,ffc
26,Josh Jacobs,RB,GB,26.4,17,34,3.5,11,ffc
27,Kyren Williams,RB,LAR,27.1,18,36,3.1,11,ffc
28,Breece Hall,RB,NYJ,28.3,19,35,3.2,13,ffc
29,Malik Nabers,WR,NYG,28.3,19,38,3.4,8,ffc
30,Garrett Wilson,WR,NYJ,30.9,22,44,3.1,13,ffc
31,Jeremiyah Love,RB,ARI,31.6,21,45,4.4,14,ffc
32,DeVonta Smith,WR,PHI,31.7,22,43,3.4,10,ffc
33,Josh Allen,QB,BUF,32.1,14,45,6.9,7,ffc
34,Tetairoa McMillan,WR,CAR,33.2,23,41,3.7,5,ffc
35,Javonte Williams,RB,DAL,33.5,23,43,3.7,14,ffc
36,Cam Skattebo,RB,NYG,34.4,26,42,3.4,8,ffc
37,Tee Higgins,WR,CIN,36.1,26,47,3.8,6,ffc
38,Emeka Egbuka,WR,TB,37.6,25,54,4.8,10,ffc
39,Davante Adams,WR,LAR,38.2,30,48,3.6,11,ffc
40,Trey McBride,TE,ARI,38.7,21,49,6.8,14,ffc
41,Jameson Williams,WR,DET,40.7,31,53,3.8,6,ffc
42,Ladd McConkey,WR,LAC,41.0,30,54,4.1,7,ffc
43,Travis Etienne Jr.,RB,NO,41.8,30,54,4.5,8,ffc
44,D'Andre Swift,RB,CHI,42.9,27,57,5.8,10,ffc
45,Brock Bowers,TE,LV,43.3,23,60,7.4,13,ffc
46,Terry McLaurin,WR,WAS,45.2,35,59,4.4,7,ffc
47,Rome Odunze,WR,CHI,45.6,35,60,4.6,10,ffc
48,Bucky Irving,RB,TB,46.3,30,59,5.9,10,ffc
