rank,name,position,team,adp,high,low,stdev,bye,source
1,Jahmyr Gibbs,RB,DET,1.7,1,3,0.7,6,ffc
2,Bijan Robinson,RB,ATL,2.2,1,3,0.6,11,ffc
3,Puka Nacua,WR,LAR,2.9,1,3,0.5,11,ffc
4,Ja'Marr Chase,WR,CIN,3.9,1,6,1.0,6,ffc
5,Christian McCaffrey,RB,SF,5.3,3,9,1.4,8,ffc
6,Jonathan Taylor,RB,IND,6.3,3,10,1.2,13,ffc
7,Jaxon Smith-Njigba,WR,SEA,7.0,4,12,1.4,11,ffc
8,Amon-Ra St. Brown,WR,DET,8.3,5,12,1.6,6,ffc
9,De'Von Achane,RB,MIA,9.8,4,12,1.9,6,ffc
10,James Cook III,RB,BUF,10.0,4,15,2.1,7,ffc
11,Derrick Henry,RB,BAL,10.2,7,13,1.3,13,ffc
12,CeeDee Lamb,WR,DAL,12.4,8,19,2.4,14,ffc
13,Drake London,WR,ATL,12.7,9,16,1.7,11,ffc
14,Justin Jefferson,WR,MIN,12.7,7,19,2.3,6,ffc
15,Ashton Jeanty,RB,LV,14.3,6,20,3.2,13,ffc
16,A.J. Brown,WR,NE,16.1,10,21,2.6,11,ffc
17,Saquon Barkley,RB,PHI,16.8,10,23,3.0,10,ffc
18,Omarion Hampton,RB,LAC,16.9,8,25,3.6,7,ffc
19,George Pickens,WR,DAL,18.7,15,22,2.0,14,ffc
20,Kenneth Walker III,RB,KC,19.1,11,26,2.9,5,ffc
21,Chase Brown,RB,CIN,20.3,13,27,2.6,6,ffc
22,Chris Olave,WR,NO,23.2,19,31,2.7,8,ffc
23,Nico Collins,WR,HOU,24.2,19,30,2.6,8,ffc
24,Tee Higgins,WR,CIN,24.8,22,30,2.4,6,ffc
25,Zay Flowers,WR,BAL,25.2,19,33,3.6,13,ffc
26,Josh Jacobs,RB,GB,25.6,22,32,2.9,11,ffc
27,Josh Allen,QB,BUF,26.9,10,38,6.4,7,ffc
28,Jeremiyah Love,RB,ARI,27.0,21,32,2.8,14,ffc
29,Rashee Rice,WR,KC,27.4,18,34,3.5,5,ffc
30,Garrett Wilson,WR,NYJ,29.2,22,34,2.9,13,ffc
31,DeVonta Smith,WR,PHI,29.8,24,35,2.4,10,ffc
32,Kyren Williams,RB,LAR,30.3,21,41,3.9,11,ffc
33,Breece Hall,RB,NYJ,30.6,24,36,2.6,13,ffc
34,Javonte Williams,RB,DAL,32.6,23,41,3.7,14,ffc
35,Tetairoa McMillan,WR,CAR,34.0,24,43,3.7,5,ffc
36,Cam Skattebo,RB,NYG,35.0,25,43,4.7,8,ffc
37,Terry McLaurin,WR,WAS,36.4,31,43,3.3,7,ffc
38,Davante Adams,WR,LAR,36.5,24,45,4.7,11,ffc
39,Ladd McConkey,WR,LAC,36.7,30,43,4.3,7,ffc
40,Trey McBride,TE,ARI,37.6,22,49,5.9,14,ffc
41,Travis Etienne Jr.,RB,NO,38.6,28,47,4.6,8,ffc
42,Jaylen Waddle,WR,DEN,39.2,30,51,6.4,10,ffc
43,Jameson Williams,WR,DET,42.2,36,51,3.2,6,ffc
44,Malik Nabers,WR,NYG,42.9,31,51,4.5,8,ffc
45,Brock Bowers,TE,LV,44.1,24,55,7.4,13,ffc
46,Luther Burden III,WR,CHI,45.3,30,59,5.6,10,ffc
47,Emeka Egbuka,WR,TB,45.5,32,58,5.3,10,ffc
48,Bucky Irving,RB,TB,46.1,29,56,6.5,10,ffc
49,D'Andre Swift,RB,CHI,46.9,37,54,4.0,10,ffc
50,Joe Burrow,QB,CIN,48.9,31,61,8.4,6,ffc
51,Quinshon Judkins,RB,CLE,49.7,37,59,5.1,11,ffc
