rank,name,position,team,adp,high,low,stdev,bye,source
1,Jahmyr Gibbs,RB,DET,1.5,1,3,0.7,6,ffc
2,Bijan Robinson,RB,ATL,2.0,1,4,0.7,11,ffc
3,Puka Nacua,WR,LAR,2.7,1,3,0.7,11,ffc
4,Ja'Marr Chase,WR,CIN,4.1,1,7,0.9,6,ffc
5,Jaxon Smith-Njigba,WR,SEA,5.2,3,8,1.0,11,ffc
6,Christian McCaffrey,RB,SF,5.7,3,12,1.5,8,ffc
7,Jonathan Taylor,RB,IND,6.5,2,10,1.7,13,ffc
8,Amon-Ra St. Brown,WR,DET,7.7,5,13,1.6,6,ffc
9,De'Von Achane,RB,MIA,9.3,4,13,1.9,6,ffc
10,Drake London,WR,ATL,10.5,6,14,1.6,11,ffc
11,James Cook III,RB,BUF,10.5,5,16,2.1,7,ffc
12,Derrick Henry,RB,BAL,11.0,8,17,1.7,13,ffc
13,Rashee Rice,WR,KC,13.2,9,19,2.1,5,ffc
14,CeeDee Lamb,WR,DAL,13.6,9,18,2.2,14,ffc
15,Ashton Jeanty,RB,LV,14.5,5,21,3.5,13,ffc
16,Justin Jefferson,WR,MIN,14.6,8,22,2.8,6,ffc
17,Chase Brown,RB,CIN,16.6,10,22,2.5,6,ffc
18,Saquon Barkley,RB,PHI,17.1,9,24,2.9,10,ffc
19,A.J. Brown,WR,NE,18.6,11,28,2.7,11,ffc
20,Omarion Hampton,RB,LAC,20.8,11,29,3.7,7,ffc
21,George Pickens,WR,DAL,21.1,17,26,2.1,14,ffc
22,Josh Jacobs,RB,GB,21.5,15,27,2.2,11,ffc
23,Chris Olave,WR,NO,22.7,16,29,2.9,8,ffc
24,Nico Collins,WR,HOU,23.3,16,31,2.6,8,ffc
25,Zay Flowers,WR,BAL,25.6,19,30,2.8,13,ffc
26,Kenneth Walker III,RB,KC,26.0,16,36,3.6,5,ffc
27,Josh Allen,QB,BUF,26.1,12,37,5.1,7,ffc
28,Breece Hall,RB,NYJ,26.1,20,33,2.9,13,ffc
29,Jeremiyah Love,RB,ARI,26.9,16,36,3.9,14,ffc
30,Garrett Wilson,WR,NYJ,30.2,25,36,3.1,13,ffc
31,Kyren Williams,RB,LAR,31.5,23,39,3.2,11,ffc
32,DeVonta Smith,WR,PHI,32.3,23,41,3.5,10,ffc
33,Cam Skattebo,RB,NYG,32.5,24,39,3.0,8,ffc
34,Emeka Egbuka,WR,TB,32.9,21,43,4.4,10,ffc
35,Javonte Williams,RB,DAL,35.2,25,44,3.6,14,ffc
36,Malik Nabers,WR,NYG,35.9,24,45,4.4,8,ffc
37,Tetairoa McMillan,WR,CAR,36.2,28,43,3.4,5,ffc
38,Tee Higgins,WR,CIN,37.9,27,48,3.9,6,ffc
39,Travis Etienne Jr.,RB,NO,38.6,30,46,3.9,8,ffc
40,Davante Adams,WR,LAR,40.4,30,49,3.6,11,ffc
41,Bucky Irving,RB,TB,40.9,30,49,4.1,10,ffc
42,Jameson Williams,WR,DET,42.6,36,49,3.3,6,ffc
43,Terry McLaurin,WR,WAS,42.6,31,54,4.1,7,ffc
44,Trey McBride,TE,ARI,42.9,20,57,8.6,14,ffc
