rank,name,position,team,adp,high,low,stdev,bye,source
1,Jahmyr Gibbs,RB,DET,1.4,1,3,0.6,6,ffc
2,Bijan Robinson,RB,ATL,2.2,1,3,0.7,11,ffc
3,Puka Nacua,WR,LAR,2.8,1,4,0.7,11,ffc
4,Ja'Marr Chase,WR,CIN,4.1,1,7,0.9,6,ffc
5,Jaxon Smith-Njigba,WR,SEA,5.2,2,7,0.9,11,ffc
6,Jonathan Taylor,RB,IND,6.2,3,10,1.5,13,ffc
7,Christian McCaffrey,RB,SF,6.3,3,11,1.6,8,ffc
8,Amon-Ra St. Brown,WR,DET,8.0,3,13,1.7,6,ffc
9,Drake London,WR,ATL,9.9,5,13,1.7,11,ffc
10,Derrick Henry,RB,BAL,10.2,5,15,1.9,13,ffc
11,De'Von Achane,RB,MIA,10.5,5,14,1.8,6,ffc
12,James Cook III,RB,BUF,11.9,5,20,2.6,7,ffc
13,Rashee Rice,WR,KC,12.5,10,16,1.9,5,ffc
14,CeeDee Lamb,WR,DAL,12.6,5,20,2.6,14,ffc
15,Ashton Jeanty,RB,LV,14.5,7,24,2.9,13,ffc
16,Justin Jefferson,WR,MIN,15.1,10,21,2.5,6,ffc
17,Chase Brown,RB,CIN,16.6,10,23,2.5,6,ffc
18,Saquon Barkley,RB,PHI,17.7,8,27,3.5,10,ffc
19,A.J. Brown,WR,NE,19.1,12,25,2.4,11,ffc
20,George Pickens,WR,DAL,20.3,15,27,2.4,14,ffc
21,Omarion Hampton,RB,LAC,21.7,11,32,4.0,7,ffc
22,Josh Jacobs,RB,GB,22.1,17,28,2.0,11,ffc
23,Chris Olave,WR,NO,23.1,16,28,2.4,8,ffc
24,Nico Collins,WR,HOU,23.2,15,31,2.8,8,ffc
25,Josh Allen,QB,BUF,24.0,5,35,6.9,7,ffc
26,Zay Flowers,WR,BAL,25.8,19,32,2.6,13,ffc
27,Breece Hall,RB,NYJ,26.1,20,34,3.2,13,ffc
28,Kenneth Walker,RB,KC,26.6,15,37,4.5,5,ffc
29,Jeremiyah Love,RB,ARI,28.3,19,36,3.3,14,ffc
30,Garrett Wilson,WR,NYJ,29.8,25,36,2.5,13,ffc
31,DeVonta Smith,WR,PHI,31.4,22,40,3.5,10,ffc
32,Kyren Williams,RB,LAR,32.0,22,40,3.9,11,ffc
33,Cam Skattebo,RB,NYG,32.2,20,42,4.3,8,ffc
34,Emeka Egbuka,WR,TB,32.6,24,41,3.7,10,ffc
35,Malik Nabers,WR,NYG,33.6,21,48,4.6,8,ffc
36,Javonte Williams,RB,DAL,35.6,24,44,4.2,14,ffc
37,Tetairoa McMillan,WR,CAR,35.9,27,47,3.4,5,ffc
38,Tee Higgins,WR,CIN,38.4,27,47,4.2,6,ffc
39,Travis Etienne Jr.,RB,NO,39.2,30,52,4.2,8,ffc
40,Davante Adams,WR,LAR,39.4,29,56,4.0,11,ffc
41,Jameson Williams,WR,DET,40.9,31,48,3.8,6,ffc
42,Terry McLaurin,WR,WAS,42.4,35,54,3.3,7,ffc
43,D'Andre Swift,RB,CHI,43.3,31,54,4.5,10,ffc
44,Bucky Irving,RB,TB,44.3,33,58,5.0,10,ffc
45,Rome Odunze,WR,CHI,44.5,32,60,4.6,10,ffc
46,Trey McBride,TE,ARI,44.8,20,61,9.2,14,ffc
47,Brock Bowers,TE,LV,45.5,18,65,10.4,13,ffc
