rank,name,position,team,adp,high,low,stdev,bye,source
1,Jahmyr Gibbs,RB,DET,1.7,1,3,0.7,6,ffc
2,Bijan Robinson,RB,ATL,2.1,1,3,0.6,11,ffc
3,Puka Nacua,WR,LAR,2.8,1,3,0.6,11,ffc
4,Ja'Marr Chase,WR,CIN,3.8,1,6,1.0,6,ffc
5,Christian McCaffrey,RB,SF,5.3,3,9,1.5,8,ffc
6,Jonathan Taylor,RB,IND,6.3,3,10,1.3,13,ffc
7,Jaxon Smith-Njigba,WR,SEA,6.9,4,12,1.4,11,ffc
8,Amon-Ra St. Brown,WR,DET,8.2,5,12,1.6,6,ffc
9,De'Von Achane,RB,MIA,9.8,4,12,1.9,6,ffc
10,James Cook III,RB,BUF,10.0,4,15,2.1,7,ffc
11,Derrick Henry,RB,BAL,10.2,7,12,1.4,13,ffc
12,CeeDee Lamb,WR,DAL,12.4,8,17,2.1,14,ffc
13,Justin Jefferson,WR,MIN,12.5,7,19,2.3,6,ffc
14,Drake London,WR,ATL,12.9,10,16,1.7,11,ffc
15,Ashton Jeanty,RB,LV,14.8,7,21,2.8,13,ffc
16,A.J. Brown,WR,NE,16.3,10,21,2.3,11,ffc
17,Saquon Barkley,RB,PHI,16.6,10,23,3.2,10,ffc
18,Omarion Hampton,RB,LAC,16.8,8,25,3.9,7,ffc
19,George Pickens,WR,DAL,18.8,15,22,2.0,14,ffc
20,Kenneth Walker III,RB,KC,19.0,10,26,3.1,5,ffc
21,Chase Brown,RB,CIN,20.0,12,27,2.9,6,ffc
22,Chris Olave,WR,NO,23.7,19,31,3.0,8,ffc
23,Nico Collins,WR,HOU,23.8,19,30,2.4,8,ffc
24,Tee Higgins,WR,CIN,24.7,22,30,2.4,6,ffc
25,Zay Flowers,WR,BAL,25.2,19,33,3.7,13,ffc
26,Josh Jacobs,RB,GB,25.5,22,32,2.8,11,ffc
27,Rashee Rice,WR,KC,27.2,18,34,3.5,5,ffc
28,Jeremiyah Love,RB,ARI,27.4,21,32,2.5,14,ffc
29,Josh Allen,QB,BUF,27.4,10,38,6.4,7,ffc
