rank,name,position,team,adp,high,low,stdev,bye,source
1,Jahmyr Gibbs,RB,DET,1.5,1,3,0.7,6,ffc
2,Bijan Robinson,RB,ATL,2.2,1,3,0.6,11,ffc
3,Puka Nacua,WR,LAR,2.9,1,3,0.4,11,ffc
4,Ja'Marr Chase,WR,CIN,3.9,1,6,1.0,6,ffc
5,Christian McCaffrey,RB,SF,5.3,3,9,1.4,8,ffc
6,Jonathan Taylor,RB,IND,6.3,3,10,1.1,13,ffc
7,Jaxon Smith-Njigba,WR,SEA,7.0,3,12,1.5,11,ffc
8,Amon-Ra St. Brown,WR,DET,8.2,5,12,1.7,6,ffc
9,De'Von Achane,RB,MIA,9.7,4,12,2.1,6,ffc
10,Derrick Henry,RB,BAL,10.0,7,13,1.3,13,ffc
11,James Cook III,RB,BUF,10.2,4,15,2.1,7,ffc
12,CeeDee Lamb,WR,DAL,12.4,8,19,2.4,14,ffc
13,Drake London,WR,ATL,12.9,9,16,1.7,11,ffc
14,Justin Jefferson,WR,MIN,13.0,8,19,2.1,6,ffc
15,Ashton Jeanty,RB,LV,13.8,5,20,3.0,13,ffc
16,A.J. Brown,WR,NE,16.0,10,21,2.6,11,ffc
17,Saquon Barkley,RB,PHI,17.0,10,23,2.9,10,ffc
18,Omarion Hampton,RB,LAC,17.4,8,25,3.6,7,ffc
19,George Pickens,WR,DAL,18.6,15,22,1.9,14,ffc
20,Kenneth Walker III,RB,KC,18.9,10,27,3.2,5,ffc
21,Chase Brown,RB,CIN,20.4,13,27,2.8,6,ffc
22,Chris Olave,WR,NO,22.6,18,28,2.3,8,ffc
23,Tee Higgins,WR,CIN,23.9,20,27,2.2,6,ffc
24,Nico Collins,WR,HOU,24.0,16,30,2.8,8,ffc
25,Zay Flowers,WR,BAL,25.3,19,33,3.3,13,ffc
26,Josh Jacobs,RB,GB,25.4,22,32,3.1,11,ffc
27,Jeremiyah Love,RB,ARI,27.2,21,34,2.7,14,ffc
28,Rashee Rice,WR,KC,27.2,18,34,3.3,5,ffc
29,Josh Allen,QB,BUF,28.4,16,36,5.0,7,ffc
30,Garrett Wilson,WR,NYJ,29.6,22,34,3.0,13,ffc
31,DeVonta Smith,WR,PHI,30.1,24,37,2.5,10,ffc
32,Kyren Williams,RB,LAR,30.5,21,42,4.0,11,ffc
33,Breece Hall,RB,NYJ,30.7,23,36,2.9,13,ffc
34,Javonte Williams,RB,DAL,32.7,23,41,3.5,14,ffc
35,Tetairoa McMillan,WR,CAR,34.8,24,45,4.0,5,ffc
36,Cam Skattebo,RB,NYG,35.4,25,43,4.4,8,ffc
37,Terry McLaurin,WR,WAS,36.4,31,47,3.6,7,ffc
38,Ladd McConkey,WR,LAC,36.6,30,49,4.6,7,ffc
39,Trey McBride,TE,ARI,37.3,20,49,6.3,14,ffc
40,Davante Adams,WR,LAR,37.6,29,45,3.4,11,ffc
41,Travis Etienne Jr.,RB,NO,37.7,28,47,4.8,8,ffc
42,Jaylen Waddle,WR,DEN,38.9,30,54,6.8,10,ffc
43,Jameson Williams,WR,DET,41.8,36,51,3.4,6,ffc
44,Malik Nabers,WR,NYG,43.7,31,56,4.9,8,ffc
45,Brock Bowers,TE,LV,44.6,24,63,7.5,13,ffc
46,Emeka Egbuka,WR,TB,45.3,31,61,5.5,10,ffc
47,Luther Burden III,WR,CHI,45.9,37,59,4.7,10,ffc
48,Bucky Irving,RB,TB,46.2,30,56,6.2,10,ffc
49,D'Andre Swift,RB,CHI,46.4,37,54,4.3,10,ffc
50,Joe Burrow,QB,CIN,48.7,29,61,8.5,6,ffc
51,Quinshon Judkins,RB,CLE,49.4,37,59,5.0,11,ffc
52,Mike Evans,WR,SF,49.8,36,64,5.5,8,ffc
53,Rome Odunze,WR,CHI,51.8,42,61,4.3,10,ffc
54,Colston Loveland,TE,CHI,52.5,39,60,4.9,10,ffc
55,Dak Prescott,QB,DAL,54.9,20,73,13.2,14,ffc
56,Bhayshul Tuten,RB,JAX,55.5,37,70,6.8,7,ffc
57,Lamar Jackson,QB,BAL,55.7,35,68,7.9,13,ffc
58,David Montgomery,RB,HOU,55.8,41,65,5.3,8,ffc
59,DK Metcalf,WR,PIT,56.2,50,67,4.7,9,ffc
60,Alec Pierce,WR,IND,58.4,48,74,6.1,13,ffc
61,Christian Watson,WR,GB,59.1,42,73,6.4,11,ffc
62,TreVeyon Henderson,RB,NE,59.6,43,70,6.2,11,ffc
63,Tyler Warren,TE,IND,62.2,41,78,8.1,13,ffc
64,Carnell Tate,WR,TEN,62.5,50,72,5.6,9,ffc
65,Drake Maye,QB,NE,63.9,46,75,6.8,11,ffc
66,Marvin Harrison Jr.,WR,ARI,64.0,50,77,6.3,14,ffc
67,DJ Moore,WR,BUF,64.8,45,82,7.3,7,ffc
68,Jaylen Warren,RB,PIT,65.0,62,70,2.9,9,ffc
69,Jadarian Price,RB,SEA,65.4,45,87,8.3,11,ffc
70,Courtland Sutton,WR,DEN,69.2,50,85,7.2,10,ffc
71,Parker Washington,WR,JAX,71.1,57,84,6.2,7,ffc
72,Tony Pollard,RB,TEN,71.7,58,88,7.7,9,ffc
73,Patrick Mahomes,QB,KC,72.2,48,93,10.4,5,ffc
74,Brian Thomas Jr.,WR,JAX,73.9,57,87,6.4,7,ffc
75,Rhamondre Stevenson,RB,NE,75.7,62,93,7.9,11,ffc
76,Michael Pittman Jr.,WR,PIT,78.7,63,90,5.7,9,ffc
77,Tucker Kraft,TE,GB,78.7,64,113,7.9,11,ffc
