rank,name,position,team,adp,high,low,stdev,bye,source
117,Matthew Golden,WR,GB,112.0,84,139,10.6,11,ffc
118,Travis Kelce,TE,KC,112.8,65,150,19.2,5,ffc
119,Tucker Kraft,TE,GB,114.4,77,163,18.7,11,ffc
120,Blake Corum,RB,LAR,116.1,78,145,14.5,11,ffc
121,Bo Nix,QB,DEN,117.0,65,145,19.9,10,ffc
122,Calvin Ridley,WR,TEN,119.2,106,135,7.4,9,ffc
123,Minnesota Defense,DEF,MIN,119.4,103,137,10.4,6,ffc
124,John Metchie III,WR,CAR,119.5,111,148,8.4,5,ffc
125,Ricky Pearsall,WR,SF,119.7,100,141,15.0,8,ffc
126,Jonathon Brooks,RB,CAR,121.4,77,148,16.9,5,ffc
127,Jordan Mason,RB,MIN,122.1,81,147,15.6,6,ffc
128,Jalen Coker,WR,CAR,122.7,89,147,13.0,5,ffc
129,KC Concepcion,WR,CLE,127.0,97,150,11.7,11,ffc
130,Brandon Aubrey,PK,DAL,127.6,77,183,19.3,14,ffc
131,Zach Charbonnet,RB,SEA,127.7,82,169,23.6,11,ffc
132,Rashod Bateman,WR,BAL,128.4,99,150,15.8,13,ffc
133,Theo Wease Jr.,WR,MIA,128.7,101,149,10.7,6,ffc
134,Mark Andrews,TE,BAL,129.0,94,166,16.8,13,ffc
135,Jake Tonges,TE,SF,131.7,115,141,10.5,8,ffc
136,Jerry Jeudy,WR,CLE,132.6,109,150,9.0,11,ffc
137,Jayden Higgins,WR,HOU,133.2,103,173,12.7,8,ffc
138,Tre Tucker,WR,LV,133.3,116,150,8.1,13,ffc
139,Baker Mayfield,QB,TB,133.8,112,148,8.3,10,ffc
140,George Kittle,TE,SF,135.6,96,174,19.0,8,ffc
141,Tyler Shough,QB,NO,136.8,114,155,10.7,8,ffc
142,New England Defense,DEF,NE,137.6,106,166,13.4,11,ffc
143,LA Rams Defense,DEF,LAR,137.7,94,179,16.6,11,ffc
144,Jauan Jennings,WR,MIN,138.2,109,150,11.0,6,ffc
145,Tank Dell,WR,HOU,138.3,114,159,11.0,8,ffc
146,Isaiah Likely,TE,NYG,138.6,88,172,19.4,8,ffc
147,Jalen Nailor,WR,LV,139.6,106,172,18.8,13,ffc
148,Jalen McMillan,WR,TB,140.1,110,177,11.4,10,ffc
149,Woody Marks,RB,HOU,140.3,106,166,15.1,8,ffc
150,Brian Robinson Jr.,RB,ATL,140.5,120,176,25.0,11,ffc
151,Cameron Dicker,PK,LAC,142.1,107,160,14.7,7,ffc
152,Tyjae Spears,RB,TEN,142.5,119,172,16.0,9,ffc
153,Alvin Kamara,RB,NO,143.0,91,178,22.5,8,ffc
154,Sam Darnold,QB,SEA,143.2,127,165,12.7,11,ffc
155,Eddy Piñeiro,PK,SF,143.2,110,174,14.8,8,ffc
156,Jason Myers,PK,SEA,143.3,122,170,15.3,11,ffc
157,Ka'imi Fairbairn,PK,HOU,143.5,113,160,15.3,8,ffc
158,Isiah Pacheco,RB,DET,144.6,105,170,18.4,6,ffc
159,Philadelphia Defense,DEF,PHI,144.8,120,189,14.0,10,ffc
160,Antonio Williams,WR,WAS,145.6,106,169,15.1,7,ffc
161,Cairo Santos,PK,CHI,145.7,134,178,12.5,10,ffc
162,Jordan Love,QB,GB,146.3,103,173,16.5,11,ffc
163,Kyler Murray,QB,MIN,147.1,110,174,14.0,6,ffc
164,Harrison Mevis,PK,LAR,147.6,136,163,11.7,11,ffc
