rank,name,position,team,adp,high,low,stdev,bye,source
1,Jahmyr Gibbs,RB,DET,1.5,1,3,0.7,6,ffc
2,Bijan Robinson,RB,ATL,2.3,1,4,0.6,11,ffc
3,Puka Nacua,WR,LAR,3.0,2,4,0.4,11,ffc
4,Ja'Marr Chase,WR,CIN,3.9,1,7,1.0,6,ffc
5,Jaxon Smith-Njigba,WR,SEA,5.2,1,9,1.4,11,ffc
6,Jonathan Taylor,RB,IND,6.0,2,11,1.5,13,ffc
7,Christian McCaffrey,RB,SF,6.6,2,11,1.4,8,ffc
8,Amon-Ra St. Brown,WR,DET,7.9,5,15,1.5,6,ffc
9,James Cook III,RB,BUF,9.2,4,15,1.7,7,ffc
10,Derrick Henry,RB,BAL,9.7,5,13,1.5,13,ffc
11,De'Von Achane,RB,MIA,11.7,7,17,1.7,6,ffc
12,Drake London,WR,ATL,12.2,10,15,1.2,11,ffc
13,CeeDee Lamb,WR,DAL,12.5,7,20,2.3,14,ffc
14,Justin Jefferson,WR,MIN,14.3,7,21,2.6,6,ffc
15,Ashton Jeanty,RB,LV,14.8,6,23,3.4,13,ffc
16,Chase Brown,RB,CIN,15.3,7,22,3.1,6,ffc
17,Rashee Rice,WR,KC,15.3,11,19,1.8,5,ffc
18,Saquon Barkley,RB,PHI,17.4,9,26,3.0,10,ffc
19,A.J. Brown,WR,NE,19.6,12,26,2.9,11,ffc
20,George Pickens,WR,DAL,19.8,13,25,2.4,14,ffc
21,Nico Collins,WR,HOU,20.9,14,27,2.6,8,ffc
22,Kenneth Walker,RB,KC,21.5,11,30,3.7,5,ffc
23,Chris Olave,WR,NO,23.8,16,31,2.9,8,ffc
24,Omarion Hampton,RB,LAC,24.0,13,33,3.9,7,ffc
25,Josh Jacobs,RB,GB,24.0,15,33,3.4,11,ffc
26,Zay Flowers,WR,BAL,25.7,20,33,2.5,13,ffc
27,Kyren Williams,RB,LAR,27.2,18,36,3.2,11,ffc
28,Malik Nabers,WR,NYG,28.0,18,38,3.5,8,ffc
29,Jeremiyah Love,RB,ARI,29.4,20,36,3.6,14,ffc
30,Garrett Wilson,WR,NYJ,31.4,25,40,3.1,13,ffc
31,Tetairoa McMillan,WR,CAR,31.5,24,39,3.1,5,ffc
32,DeVonta Smith,WR,PHI,32.1,23,45,3.2,10,ffc
33,Josh Allen,QB,BUF,33.0,15,46,6.9,7,ffc
34,Javonte Williams,RB,DAL,33.4,23,44,4.0,14,ffc
35,Emeka Egbuka,WR,TB,34.1,24,46,3.8,10,ffc
36,Cam Skattebo,RB,NYG,35.3,23,48,4.7,8,ffc
37,Breece Hall,RB,NYJ,35.9,26,51,4.7,13,ffc
38,Tee Higgins,WR,CIN,36.6,26,47,4.0,6,ffc
39,Trey McBride,TE,ARI,38.0,20,50,6.5,14,ffc
40,Davante Adams,WR,LAR,38.0,27,48,4.2,11,ffc
41,Travis Etienne Jr.,RB,NO,39.4,28,50,4.0,8,ffc
42,Jameson Williams,WR,DET,40.2,30,47,3.5,6,ffc
43,Ladd McConkey,WR,LAC,40.9,31,52,3.7,7,ffc
44,D'Andre Swift,RB,CHI,43.0,31,52,4.6,10,ffc
45,Brock Bowers,TE,LV,43.5,21,60,8.3,13,ffc
46,Terry McLaurin,WR,WAS,44.7,32,59,4.7,7,ffc
47,Bucky Irving,RB,TB,45.8,29,59,6.1,10,ffc
48,Rome Odunze,WR,CHI,47.8,32,68,6.1,10,ffc
49,Jaylen Waddle,WR,DEN,48.1,30,69,6.6,10,ffc
50,DJ Moore,WR,BUF,48.8,32,70,6.3,7,ffc
51,Drake Maye,QB,NE,51.5,34,65,6.5,11,ffc
52,Quinshon Judkins,RB,CLE,51.6,36,66,5.8,11,ffc
53,Ollie Gordon II,RB,MIA,52.0,52,52,0.0,6,ffc
54,Bhayshul Tuten,RB,JAX,53.3,40,65,5.1,7,ffc
55,Mike Evans,WR,SF,54.6,37,71,6.5,8,ffc
56,David Montgomery,RB,HOU,55.0,39,69,6.0,8,ffc
57,Christian Watson,WR,GB,56.3,41,74,5.8,11,ffc
58,Lamar Jackson,QB,BAL,56.8,34,70,8.5,13,ffc
59,Alec Pierce,WR,IND,57.0,39,72,7.0,13,ffc
60,Joe Burrow,QB,CIN,57.3,32,75,9.5,6,ffc
61,Courtland Sutton,WR,DEN,59.1,45,73,5.7,10,ffc
62,TreVeyon Henderson,RB,NE,61.1,45,73,5.9,11,ffc
63,Luther Burden III,WR,CHI,61.6,43,80,7.1,10,ffc
64,Colston Loveland,TE,CHI,61.7,39,84,8.6,10,ffc
65,Jaylen Warren,RB,PIT,63.3,53,72,4.0,9,ffc
66,DK Metcalf,WR,PIT,63.6,46,85,6.6,9,ffc
67,Marvin Harrison Jr.,WR,ARI,64.7,48,83,7.0,14,ffc
68,Parker Washington,WR,JAX,65.3,50,83,6.7,7,ffc
69,Dak Prescott,QB,DAL,65.7,50,91,7.5,14,ffc
70,Rhamondre Stevenson,RB,NE,67.1,54,83,7.1,11,ffc
71,Tony Pollard,RB,TEN,67.1,55,79,5.8,9,ffc
72,Brian Thomas Jr.,WR,JAX,69.5,50,86,7.3,7,ffc
73,Jayden Daniels,QB,WAS,70.0,48,103,8.3,7,ffc
74,Tyler Warren,TE,IND,72.2,48,91,9.2,13,ffc
75,Carnell Tate,WR,TEN,74.4,53,90,8.1,9,ffc
76,Jadarian Price,RB,SEA,74.6,49,103,9.6,11,ffc
77,Rico Dowdle,RB,PIT,75.5,56,94,7.5,9,ffc
78,Michael Wilson,WR,ARI,75.9,57,93,7.1,14,ffc
79,Chris Godwin Jr.,WR,TB,77.0,55,94,8.2,10,ffc
80,Matthew Stafford,QB,LAR,78.3,56,110,10.8,11,ffc
81,Jalen Hurts,QB,PHI,79.4,55,105,10.8,10,ffc
82,Chuba Hubbard,RB,CAR,79.9,52,109,10.8,5,ffc
83,J.K. Dobbins,RB,DEN,80.6,56,114,10.7,10,ffc
84,Michael Pittman Jr.,WR,PIT,81.0,61,96,7.7,9,ffc
85,Seattle Defense,DEF,SEA,81.8,66,100,7.1,11,ffc
86,Harold Fannin Jr.,TE,CLE,84.0,68,97,5.9,11,ffc
87,Kyle Pitts Sr.,TE,ATL,85.1,65,113,7.6,11,ffc
88,Jakobi Meyers,WR,JAX,85.5,66,101,7.4,7,ffc
89,Quentin Johnston,WR,LAC,86.6,66,101,7.9,7,ffc
90,Josh Downs,WR,IND,87.7,67,106,7.6,13,ffc
91,Jordan Addison,WR,MIN,88.1,65,120,8.7,6,ffc
92,Brock Purdy,QB,SF,88.4,70,116,11.5,8,ffc
93,Caleb Williams,QB,CHI,91.0,59,120,12.3,10,ffc
