rank,name,position,team,adp,high,low,stdev,bye,source
1,Jahmyr Gibbs,RB,DET,1.5,1,3,0.7,6,ffc
2,Bijan Robinson,RB,ATL,2.2,1,4,0.6,11,ffc
3,Puka Nacua,WR,LAR,3.0,1,6,0.6,11,ffc
4,Ja'Marr Chase,WR,CIN,3.9,1,8,1.0,6,ffc
5,Jaxon Smith-Njigba,WR,SEA,5.2,1,9,1.5,11,ffc
6,Jonathan Taylor,RB,IND,5.9,2,11,1.5,13,ffc
7,Christian McCaffrey,RB,SF,6.6,3,12,1.6,8,ffc
8,Amon-Ra St. Brown,WR,DET,8.0,5,14,1.5,6,ffc
9,James Cook III,RB,BUF,9.3,4,15,1.7,7,ffc
10,Derrick Henry,RB,BAL,9.7,5,15,1.7,13,ffc
11,De'Von Achane,RB,MIA,11.7,7,17,1.7,6,ffc
12,Drake London,WR,ATL,12.0,9,15,1.4,11,ffc
13,CeeDee Lamb,WR,DAL,12.5,7,20,2.2,14,ffc
14,Justin Jefferson,WR,MIN,14.4,9,24,2.5,6,ffc
15,Chase Brown,RB,CIN,15.1,8,22,2.7,6,ffc
16,Rashee Rice,WR,KC,15.2,10,19,1.8,5,ffc
17,Saquon Barkley,RB,PHI,17.6,8,26,3.3,10,ffc
18,Nico Collins,WR,HOU,18.4,13,25,2.3,8,ffc
19,Ashton Jeanty,RB,LV,18.9,1,40,7.2,13,ffc
20,George Pickens,WR,DAL,19.9,14,26,2.3,14,ffc
21,A.J. Brown,WR,NE,20.0,12,28,3.1,11,ffc
22,Kenneth Walker,RB,KC,20.5,10,30,3.7,5,ffc
23,Chris Olave,WR,NO,23.2,17,31,2.3,8,ffc
24,Omarion Hampton,RB,LAC,24.0,14,33,3.8,7,ffc
25,Zay Flowers,WR,BAL,25.2,20,33,2.4,13,ffc
26,Josh Jacobs,RB,GB,25.4,18,34,2.8,11,ffc
27,Malik Nabers,WR,NYG,26.2,17,34,3.3,8,ffc
28,Kyren Williams,RB,LAR,27.4,19,38,3.0,11,ffc
29,Jeremiyah Love,RB,ARI,29.0,18,36,3.9,14,ffc
30,Tetairoa McMillan,WR,CAR,30.7,21,42,3.5,5,ffc
31,Garrett Wilson,WR,NYJ,31.1,24,40,3.0,13,ffc
32,DeVonta Smith,WR,PHI,31.6,22,45,3.4,10,ffc
33,Josh Allen,QB,BUF,33.0,12,47,7.7,7,ffc
34,Javonte Williams,RB,DAL,33.2,23,44,3.8,14,ffc
35,Breece Hall,RB,NYJ,33.5,24,43,3.4,13,ffc
36,Emeka Egbuka,WR,TB,33.7,24,42,3.4,10,ffc
37,Tee Higgins,WR,CIN,35.9,25,47,4.1,6,ffc
38,Travis Etienne Jr.,RB,NO,37.3,27,50,4.1,8,ffc
39,Trey McBride,TE,ARI,37.8,19,50,7.1,14,ffc
40,Davante Adams,WR,LAR,37.9,26,51,4.2,11,ffc
41,Cam Skattebo,RB,NYG,38.4,27,50,4.3,8,ffc
42,Jameson Williams,WR,DET,38.7,26,49,4.6,6,ffc
43,Ladd McConkey,WR,LAC,41.0,29,54,4.3,7,ffc
44,D'Andre Swift,RB,CHI,43.2,31,52,4.4,10,ffc
45,Brock Bowers,TE,LV,44.0,20,60,9.0,13,ffc
46,DJ Moore,WR,BUF,44.9,31,65,5.3,7,ffc
47,Terry McLaurin,WR,WAS,45.1,34,62,5.1,7,ffc
48,Bucky Irving,RB,TB,47.0,32,59,5.5,10,ffc
49,Jaylen Waddle,WR,DEN,47.3,30,69,6.4,10,ffc
50,Rome Odunze,WR,CHI,48.9,33,68,6.1,10,ffc
51,Drake Maye,QB,NE,51.3,30,66,8.1,11,ffc
52,Quinshon Judkins,RB,CLE,51.5,35,66,6.3,11,ffc
53,Bhayshul Tuten,RB,JAX,52.5,37,65,5.9,7,ffc
54,Mike Evans,WR,SF,54.2,38,70,6.0,8,ffc
55,Lamar Jackson,QB,BAL,55.5,29,69,10.1,13,ffc
56,David Montgomery,RB,HOU,55.5,40,69,5.7,8,ffc
57,Christian Watson,WR,GB,56.0,41,74,5.6,11,ffc
58,Joe Burrow,QB,CIN,57.5,38,72,7.5,6,ffc
59,Luther Burden III,WR,CHI,57.6,41,75,6.2,10,ffc
60,Courtland Sutton,WR,DEN,59.1,45,73,5.6,10,ffc
61,Alec Pierce,WR,IND,60.9,47,76,7.0,13,ffc
62,Jaylen Warren,RB,PIT,61.7,53,67,3.3,9,ffc
63,Colston Loveland,TE,CHI,62.1,41,84,8.1,10,ffc
64,Rhamondre Stevenson,RB,NE,63.2,50,77,5.8,11,ffc
65,TreVeyon Henderson,RB,NE,63.5,48,81,5.7,11,ffc
66,DK Metcalf,WR,PIT,64.1,46,83,7.0,9,ffc
67,Parker Washington,WR,JAX,65.1,47,82,6.7,7,ffc
68,Marvin Harrison Jr.,WR,ARI,66.1,49,86,7.8,14,ffc
69,Dak Prescott,QB,DAL,66.3,49,87,7.2,14,ffc
70,Tony Pollard,RB,TEN,68.0,56,82,6.3,9,ffc
71,Brian Thomas Jr.,WR,JAX,70.1,51,86,7.4,7,ffc
72,Jayden Daniels,QB,WAS,70.7,51,103,7.9,7,ffc
73,Tyler Warren,TE,IND,72.8,49,93,9.1,13,ffc
74,Jadarian Price,RB,SEA,73.3,48,103,9.4,11,ffc
75,Rico Dowdle,RB,PIT,74.5,56,94,6.9,9,ffc
76,Matthew Stafford,QB,LAR,74.5,51,110,10.9,11,ffc
77,Michael Wilson,WR,ARI,74.6,55,94,7.2,14,ffc
78,Carnell Tate,WR,TEN,75.6,56,90,7.5,9,ffc
79,Chris Godwin Jr.,WR,TB,76.1,56,99,8.3,10,ffc
80,J.K. Dobbins,RB,DEN,77.5,55,114,9.1,10,ffc
81,Jalen Hurts,QB,PHI,79.5,55,111,10.4,10,ffc
82,Seattle Defense,DEF,SEA,80.6,65,99,7.1,11,ffc
83,Michael Pittman Jr.,WR,PIT,81.1,60,98,7.8,9,ffc
84,Harold Fannin Jr.,TE,CLE,82.5,65,93,7.0,11,ffc
85,Kyle Pitts Sr.,TE,ATL,82.9,58,112,9.4,11,ffc
86,Jordan Addison,WR,MIN,86.2,63,103,8.6,6,ffc
87,Chuba Hubbard,RB,CAR,86.2,59,116,10.3,5,ffc
88,Jakobi Meyers,WR,JAX,86.3,66,101,7.5,7,ffc
89,Quentin Johnston,WR,LAC,87.8,67,117,7.9,7,ffc
90,Jayden Reed,WR,GB,89.0,66,118,8.7,11,ffc
91,Brock Purdy,QB,SF,89.8,60,114,11.4,8,ffc
92,Jonathon Brooks,RB,CAR,90.2,61,128,11.1,5,ffc
93,Josh Downs,WR,IND,91.4,69,110,8.3,13,ffc
94,Caleb Williams,QB,CHI,91.9,58,127,13.0,10,ffc
95,Denver Defense,DEF,DEN,92.3,75,107,8.1,10,ffc
96,Trevor Lawrence,QB,JAX,92.3,68,123,11.8,7,ffc
97,Wan'Dale Robinson,WR,TEN,93.6,72,110,8.0,9,ffc
98,Tucker Kraft,TE,GB,94.7,57,148,14.5,11,ffc
99,Stefon Diggs,WR,WAS,94.8,69,120,9.6,7,ffc
100,Kyle Monangai,RB,CHI,98.6,65,136,12.9,10,ffc
101,Xavier Worthy,WR,KC,99.7,80,116,7.5,5,ffc
102,Jared Goff,QB,DET,100.1,72,131,13.5,6,ffc
103,Houston Defense,DEF,HOU,100.7,79,121,8.3,8,ffc
104,Kenny Gainwell,RB,TB,100.9,66,128,13.0,10,ffc
105,Dallas Goedert,TE,PHI,100.9,66,147,21.7,10,ffc
106,Deebo Samuel Sr.,WR,SF,100.9,81,121,8.4,8,ffc
107,Patrick Mahomes,QB,KC,101.5,66,124,13.3,5,ffc
108,Jacory Croskey-Merritt,RB,WAS,102.4,71,143,14.9,7,ffc
109,RJ Harvey,RB,DEN,102.5,67,138,13.5,10,ffc
110,Matthew Golden,WR,GB,102.8,83,119,7.4,11,ffc
111,Romeo Doubs,WR,NE,108.1,87,125,7.9,11,ffc
112,Justin Herbert,QB,LAC,108.5,77,136,11.9,7,ffc
113,Khalil Shakir,WR,BUF,108.5,90,121,6.8,7,ffc
114,Aaron Jones Sr.,RB,MIN,109.0,70,143,15.1,6,ffc
115,Minnesota Defense,DEF,MIN,110.1,91,132,10.7,6,ffc
116,Makai Lemon,WR,PHI,111.2,86,143,9.6,10,ffc
117,Bo Nix,QB,DEN,112.3,74,140,14.5,10,ffc
118,LA Rams Defense,DEF,LAR,113.1,86,136,10.3,11,ffc
119,Jordan Mason,RB,MIN,114.4,74,150,15.2,6,ffc
120,George Kittle,TE,SF,116.2,67,170,19.6,8,ffc
121,KC Concepcion,WR,CLE,117.0,88,150,11.0,11,ffc
122,Travis Kelce,TE,KC,117.1,85,153,17.9,5,ffc
123,Jalen Coker,WR,CAR,117.6,96,145,8.8,5,ffc
124,Rachaad White,RB,WAS,119.4,87,142,12.4,7,ffc
125,Rashid Shaheed,WR,SEA,120.0,98,142,8.2,11,ffc
126,Jaxson Dart,QB,NYG,120.6,89,139,11.9,8,ffc
127,Blake Corum,RB,LAR,121.9,85,150,13.8,11,ffc
128,Mark Andrews,TE,BAL,123.8,79,150,16.9,13,ffc
129,Jerry Jeudy,WR,CLE,125.1,102,146,8.8,11,ffc
130,Sam LaPorta,TE,DET,126.7,70,170,21.6,6,ffc
131,Rashod Bateman,WR,BAL,128.7,80,155,21.3,13,ffc
132,Detroit Defense,DEF,DET,128.8,106,174,14.8,6,ffc
133,De'Zhaun Stribling,WR,SF,129.3,94,161,13.4,8,ffc
134,Tre Tucker,WR,LV,130.3,104,150,9.9,13,ffc
135,Ka'imi Fairbairn,PK,HOU,131.2,105,159,20.2,8,ffc
136,New England Defense,DEF,NE,132.3,103,167,10.9,11,ffc
137,Jalen McMillan,WR,TB,133.1,107,150,10.0,10,ffc
138,Zach Charbonnet,RB,SEA,133.5,96,164,14.2,11,ffc
139,Pittsburgh Defense,DEF,PIT,133.6,106,176,12.5,9,ffc
140,Brandon Aubrey,PK,DAL,133.7,75,182,22.3,14,ffc
141,Isaiah Likely,TE,NYG,134.1,83,172,19.3,8,ffc
142,Baker Mayfield,QB,TB,134.7,112,151,8.6,10,ffc
143,Keenan Allen,WR,IND,135.7,106,156,11.1,13,ffc
144,Kyler Murray,QB,MIN,136.6,107,166,11.3,6,ffc
145,Calvin Ridley,WR,TEN,137.3,117,164,10.1,9,ffc
146,Tyler Shough,QB,NO,139.4,123,156,9.0,8,ffc
147,Tyjae Spears,RB,TEN,139.6,111,169,15.3,9,ffc
148,LA Chargers Defense,DEF,LAC,140.3,107,180,12.6,7,ffc
149,Jalen Nailor,WR,LV,140.7,107,170,12.8,13,ffc
150,Woody Marks,RB,HOU,140.9,104,168,13.9,8,ffc
151,Jauan Jennings,WR,MIN,141.3,116,155,10.3,6,ffc
152,Philadelphia Defense,DEF,PHI,141.8,106,178,13.4,10,ffc
153,Denzel Boston,WR,CLE,141.9,124,154,6.8,11,ffc
154,Jason Myers,PK,SEA,141.9,99,180,18.4,11,ffc
155,Cameron Dicker,PK,LAC,143.6,107,189,21.3,7,ffc
156,Jake Ferguson,TE,DAL,144.7,96,177,18.6,14,ffc
157,Malik Washington,WR,MIA,145.9,120,177,11.9,6,ffc
158,Emmett Johnson,RB,KC,146.1,103,171,28.5,5,ffc
159,Jake Bates,PK,DET,146.4,108,187,18.8,6,ffc
160,Harrison Mevis,PK,LAR,148.7,113,189,14.8,11,ffc
161,Tyler Loop,PK,BAL,149.1,116,192,17.3,13,ffc
162,Sam Darnold,QB,SEA,150.2,123,174,10.3,11,ffc
163,Tank Dell,WR,HOU,150.4,115,180,13.4,8,ffc
164,Cyrus Allen,WR,KC,150.4,117,167,15.5,5,ffc
165,Chase McLaughlin,PK,TB,150.6,124,189,18.2,10,ffc
166,Cam Little,PK,JAX,151.1,115,205,17.9,7,ffc
167,Mike Washington Jr.,RB,LV,151.9,93,203,22.6,13,ffc
168,Dalton Kincaid,TE,BUF,152.5,115,178,16.7,7,ffc
169,Jordan Love,QB,GB,152.7,115,176,14.2,11,ffc
170,Tyler Allgeier,RB,ARI,153.6,93,205,23.1,14,ffc
171,Kaelon Black,RB,SF,154.7,91,178,26.9,8,ffc
172,Cooper Kupp,WR,SEA,154.7,124,178,11.7,11,ffc
173,Tank Bigsby,RB,PHI,154.7,122,210,16.7,10,ffc
174,Keaton Mitchell,RB,LAC,155.8,127,201,21.6,7,ffc
175,Isiah Pacheco,RB,DET,156.1,120,185,14.7,6,ffc
176,Alvin Kamara,RB,NO,156.8,108,180,18.7,8,ffc
177,Blake Grupe,PK,IND,157.4,142,178,14.4,13,ffc
178,Jordyn Tyson,WR,NO,157.6,124,180,12.9,8,ffc
179,Chris Rodriguez Jr.,RB,JAX,158.8,106,197,20.0,7,ffc
180,Eddy Piñeiro,PK,SF,159.4,140,194,16.0,8,ffc
181,Wil Lutz,PK,DEN,159.6,137,203,16.9,10,ffc
182,Ryan Flournoy,WR,DAL,159.7,121,178,16.7,14,ffc
183,Adonai Mitchell,WR,NYJ,161.2,135,180,11.7,13,ffc
184,Juwan Johnson,TE,NO,161.5,119,199,18.5,8,ffc
185,Jacksonville Defense,DEF,JAX,161.6,125,198,14.3,7,ffc
186,C.J. Stroud,QB,HOU,161.8,132,180,13.4,8,ffc
187,Hunter Henry,TE,NE,162.7,120,195,17.8,11,ffc
188,Cleveland Defense,DEF,CLE,162.8,123,203,15.1,11,ffc
189,Buffalo Defense,DEF,BUF,163.0,124,206,14.9,7,ffc
190,Will Reichard,PK,MIN,163.3,117,205,20.2,6,ffc
191,Travis Hunter,WR,JAX,163.4,117,183,17.6,7,ffc
192,Darius Slayton,WR,NYG,163.4,146,179,13.7,8,ffc
193,Braelon Allen,RB,NYJ,163.5,99,201,27.9,13,ffc
194,Malik Willis,QB,MIA,165.3,123,198,18.8,6,ffc
195,Devaughn Vele,WR,NO,165.4,142,180,10.9,8,ffc
196,MarShawn Lloyd,RB,GB,165.8,110,203,21.4,11,ffc
197,Brian Robinson,RB,ATL,166.0,139,186,19.8,11,ffc
198,Tyrone Tracy Jr.,RB,NYG,166.4,126,194,15.6,8,ffc
199,Ja'Kobi Lane,WR,BAL,166.8,136,206,15.6,13,ffc
200,Jonah Coleman,RB,DEN,166.9,121,210,24.4,10,ffc
201,Kayshon Boutte,WR,HOU,167.0,138,196,11.5,8,ffc
202,Harrison Butker,PK,KC,167.1,139,207,17.4,5,ffc
203,Daniel Jones,QB,IND,168.6,151,188,10.2,13,ffc
204,Pat Bryant,WR,DEN,169.0,155,204,20.8,10,ffc
205,Baltimore Defense,DEF,BAL,169.7,114,206,21.7,13,ffc
206,Dallas Defense,DEF,DAL,171.1,147,193,12.1,14,ffc
207,Chris Boswell,PK,PIT,171.4,134,204,29.8,9,ffc
208,Brenton Strange,TE,JAX,171.6,114,199,21.9,7,ffc
209,Cam Ward,QB,TEN,171.8,155,210,21.3,9,ffc
210,Andy Borregales,PK,NE,172.7,111,207,36.0,11,ffc
211,T.J. Hockenson,TE,MIN,173.3,125,195,20.1,6,ffc
212,New Orleans Defense,DEF,NO,173.5,146,201,14.1,8,ffc
213,Trey Smack,PK,GB,173.6,113,208,25.0,11,ffc
214,Chicago Defense,DEF,CHI,173.7,130,204,22.0,10,ffc
215,Tennessee Defense,DEF,TEN,175.4,137,209,16.0,9,ffc
216,Kenyon Sadiq,TE,NYJ,175.7,155,189,10.3,13,ffc
217,Cairo Santos,PK,CHI,175.8,144,205,23.0,10,ffc
218,Tre' Harris,WR,LAC,176.2,144,205,15.0,7,ffc
219,Caleb Douglas,WR,MIA,176.8,135,210,25.0,6,ffc
220,Dalton Schultz,TE,HOU,178.0,158,204,16.3,8,ffc
221,Dylan Sampson,RB,CLE,178.2,131,207,23.2,11,ffc
222,Cincinnati Defense,DEF,CIN,179.6,145,210,19.9,6,ffc
223,Evan McPherson,PK,CIN,179.9,143,204,16.1,6,ffc
224,Atlanta Defense,DEF,ATL,181.8,153,204,15.1,11,ffc
225,Dontayvion Wicks,WR,PHI,183.8,153,207,16.1,10,ffc
226,Troy Franklin,WR,DEN,190.1,148,204,19.5,10,ffc
227,Germie Bernard,WR,PIT,192.8,189,200,4.7,9,ffc
228,Terrance Ferguson,TE,LAR,201.5,197,207,4.6,11,ffc
1,Jahmyr Gibbs,RB,DET,1.0,1,1,0.00,6,fantasypros
2,Bijan Robinson,RB,ATL,2.0,2,2,0.00,11,fantasypros
3,Ja'Marr Chase,WR,CIN,3.0,3,3,0.00,6,fantasypros
4,Puka Nacua,WR,LAR,4.0,4,4,0.00,11,fantasypros
5,Christian McCaffrey,RB,SF,5.0,5,5,0.00,8,fantasypros
6,Jaxon Smith-Njigba,WR,SEA,6.33,6,7,0.47,11,fantasypros
7,Jonathan Taylor,RB,IND,6.67,6,7,0.47,13,fantasypros
8,Amon-Ra St. Brown,WR,DET,8.0,8,8,0.00,6,fantasypros
9,James Cook III,RB,BUF,9.33,9,10,0.47,7,fantasypros
10,CeeDee Lamb,WR,DAL,11.33,10,14,1.89,14,fantasypros
