rank,name,position,team,adp,high,low,stdev,bye,source
1,Jahmyr Gibbs,RB,DET,1.4,1,3,0.6,6,ffc
2,Bijan Robinson,RB,ATL,2.2,1,3,0.7,11,ffc
3,Puka Nacua,WR,LAR,2.8,2,3,0.4,11,ffc
4,Christian McCaffrey,RB,SF,4.5,2,7,1.2,8,ffc
5,Ja'Marr Chase,WR,CIN,5.1,3,9,1.4,6,ffc
6,Jonathan Taylor,RB,IND,5.5,4,7,1.0,13,ffc
7,Jaxon Smith-Njigba,WR,SEA,7.0,2,11,1.7,11,ffc
8,Amon-Ra St. Brown,WR,DET,8.4,5,13,1.5,6,ffc
9,De'Von Achane,RB,MIA,8.8,5,12,1.8,6,ffc
10,Derrick Henry,RB,BAL,9.6,6,12,1.5,13,ffc
11,James Cook III,RB,BUF,10.3,5,15,1.7,7,ffc
12,Ashton Jeanty,RB,LV,12.0,3,19,3.3,13,ffc
13,Drake London,WR,ATL,13.0,10,15,1.4,11,ffc
14,CeeDee Lamb,WR,DAL,13.0,8,20,2.8,14,ffc
15,Saquon Barkley,RB,PHI,15.0,6,20,3.3,10,ffc
16,Justin Jefferson,WR,MIN,15.0,9,23,3.2,6,ffc
17,A.J. Brown,WR,NE,16.6,11,21,2.5,11,ffc
18,Omarion Hampton,RB,LAC,17.2,8,27,3.2,7,ffc
19,Kenneth Walker III,RB,KC,17.9,9,27,3.3,5,ffc
20,Chase Brown,RB,CIN,20.0,13,27,2.8,6,ffc
21,George Pickens,WR,DAL,21.5,15,29,3.6,14,ffc
22,Josh Jacobs,RB,GB,22.0,15,31,3.3,11,ffc
23,Nico Collins,WR,HOU,23.8,16,30,2.8,8,ffc
24,Chris Olave,WR,NO,24.3,18,31,2.8,8,ffc
25,Jeremiyah Love,RB,ARI,25.2,16,34,3.4,14,ffc
26,Josh Allen,QB,BUF,26.6,11,36,5.7,7,ffc
27,Rashee Rice,WR,KC,26.6,17,35,3.6,5,ffc
28,Tee Higgins,WR,CIN,28.0,20,34,3.7,6,ffc
29,Breece Hall,RB,NYJ,29.2,21,36,3.0,13,ffc
30,DeVonta Smith,WR,PHI,29.7,22,37,2.8,10,ffc
31,Javonte Williams,RB,DAL,30.1,22,39,3.5,14,ffc
32,Kyren Williams,RB,LAR,32.2,23,43,3.5,11,ffc
33,Tetairoa McMillan,WR,CAR,32.8,22,45,3.9,5,ffc
34,Zay Flowers,WR,BAL,32.8,20,41,4.7,13,ffc
35,Garrett Wilson,WR,NYJ,33.5,26,42,3.3,13,ffc
36,Cam Skattebo,RB,NYG,35.0,24,46,4.6,8,ffc
37,Ladd McConkey,WR,LAC,35.4,29,52,4.8,7,ffc
38,Terry McLaurin,WR,WAS,36.4,30,47,3.7,7,ffc
39,Travis Etienne Jr.,RB,NO,37.5,29,45,4.1,8,ffc
40,Trey McBride,TE,ARI,37.9,16,55,8.3,14,ffc
41,Davante Adams,WR,LAR,39.2,29,52,4.0,11,ffc
42,Jaylen Waddle,WR,DEN,40.1,30,54,6.4,10,ffc
43,Quinshon Judkins,RB,CLE,42.6,27,54,5.6,11,ffc
44,Emeka Egbuka,WR,TB,42.8,30,61,5.2,10,ffc
45,Brock Bowers,TE,LV,43.5,20,63,9.0,13,ffc
46,D'Andre Swift,RB,CHI,43.7,31,52,4.5,10,ffc
47,Jameson Williams,WR,DET,45.7,36,53,3.7,6,ffc
